"cnty_fips","display_name","Value","theme_range"
48001,"""Anderson, (TX)""",13,"8.0 - 14.1 (40)"
48003,"""Andrews, (TX)""",23.8,"20.9 - 24.0 (37)"
48005,"""Angelina, (TX)""",26.8,"24.1 - 41.0 (38)"
48007,"""Aransas, (TX)""",15,"14.2 - 17.7 (38)"
48009,"""Archer, (TX)""",13.7,"8.0 - 14.1 (40)"
48011,"""Armstrong, (TX)""",-1,
48013,"""Atascosa, (TX)""",27.9,"24.1 - 41.0 (38)"
48015,"""Austin, (TX)""",15.8,"14.2 - 17.7 (38)"
48017,"""Bailey, (TX)""",15.7,"14.2 - 17.7 (38)"
48019,"""Bandera, (TX)""",11.4,"8.0 - 14.1 (40)"
48021,"""Bastrop, (TX)""",18.9,"17.8 - 20.8 (40)"
48023,"""Baylor, (TX)""",12.2,"8.0 - 14.1 (40)"
48025,"""Bee, (TX)""",39.5,"24.1 - 41.0 (38)"
48027,"""Bell, (TX)""",19.1,"17.8 - 20.8 (40)"
48029,"""Bexar, (TX)""",15,"14.2 - 17.7 (38)"
48031,"""Blanco, (TX)""",9.1,"8.0 - 14.1 (40)"
48033,"""Borden, (TX)""",-1,
48035,"""Bosque, (TX)""",21.9,"20.9 - 24.0 (37)"
48037,"""Bowie, (TX)""",23.5,"20.9 - 24.0 (37)"
48039,"""Brazoria, (TX)""",17.8,"17.8 - 20.8 (40)"
48041,"""Brazos, (TX)""",14,"8.0 - 14.1 (40)"
48043,"""Brewster, (TX)""",15.7,"14.2 - 17.7 (38)"
48045,"""Briscoe, (TX)""",-1,
48047,"""Brooks, (TX)""",23.1,"20.9 - 24.0 (37)"
48049,"""Brown, (TX)""",18.5,"17.8 - 20.8 (40)"
48051,"""Burleson, (TX)""",20.5,"17.8 - 20.8 (40)"
48053,"""Burnet, (TX)""",14.4,"14.2 - 17.7 (38)"
48055,"""Caldwell, (TX)""",10.5,"8.0 - 14.1 (40)"
48057,"""Calhoun, (TX)""",10.6,"8.0 - 14.1 (40)"
48059,"""Callahan, (TX)""",15.8,"14.2 - 17.7 (38)"
48061,"""Cameron, (TX)""",21.5,"20.9 - 24.0 (37)"
48063,"""Camp, (TX)""",15.4,"14.2 - 17.7 (38)"
48065,"""Carson, (TX)""",20.8,"17.8 - 20.8 (40)"
48067,"""Cass, (TX)""",23.1,"20.9 - 24.0 (37)"
48069,"""Castro, (TX)""",-1,
48071,"""Chambers, (TX)""",22.3,"20.9 - 24.0 (37)"
48073,"""Cherokee, (TX)""",15.9,"14.2 - 17.7 (38)"
48075,"""Childress, (TX)""",18.9,"17.8 - 20.8 (40)"
48077,"""Clay, (TX)""",12.7,"8.0 - 14.1 (40)"
48079,"""Cochran, (TX)""",34.6,"24.1 - 41.0 (38)"
48081,"""Coke, (TX)""",-1,
48083,"""Coleman, (TX)""",9.3,"8.0 - 14.1 (40)"
48085,"""Collin, (TX)""",16,"14.2 - 17.7 (38)"
48087,"""Collingsworth, (TX)""",-1,
48089,"""Colorado, (TX)""",19.7,"17.8 - 20.8 (40)"
48091,"""Comal, (TX)""",11.6,"8.0 - 14.1 (40)"
48093,"""Comanche, (TX)""",33,"24.1 - 41.0 (38)"
48095,"""Concho, (TX)""",-1,
48097,"""Cooke, (TX)""",22,"20.9 - 24.0 (37)"
48099,"""Coryell, (TX)""",22.2,"20.9 - 24.0 (37)"
48101,"""Cottle, (TX)""",-1,
48103,"""Crane, (TX)""",-1,
48105,"""Crockett, (TX)""",-1,
48107,"""Crosby, (TX)""",29.5,"24.1 - 41.0 (38)"
48109,"""Culberson, (TX)""",-1,
48111,"""Dallam, (TX)""",15.2,"14.2 - 17.7 (38)"
48113,"""Dallas, (TX)""",13.7,"8.0 - 14.1 (40)"
48115,"""Dawson, (TX)""",22.6,"20.9 - 24.0 (37)"
48117,"""Deaf Smith, (TX)""",18.6,"17.8 - 20.8 (40)"
48119,"""Delta, (TX)""",19.3,"17.8 - 20.8 (40)"
48121,"""Denton, (TX)""",19.5,"17.8 - 20.8 (40)"
48123,"""DeWitt, (TX)""",19,"17.8 - 20.8 (40)"
48125,"""Dickens, (TX)""",-1,
48127,"""Dimmit, (TX)""",35,"24.1 - 41.0 (38)"
48129,"""Donley, (TX)""",-1,
48131,"""Duval, (TX)""",32.7,"24.1 - 41.0 (38)"
48133,"""Eastland, (TX)""",25.8,"24.1 - 41.0 (38)"
48135,"""Ector, (TX)""",21.8,"20.9 - 24.0 (37)"
48137,"""Edwards, (TX)""",17.6,"14.2 - 17.7 (38)"
48139,"""Ellis, (TX)""",14.1,"8.0 - 14.1 (40)"
48141,"""El Paso, (TX)""",11.4,"8.0 - 14.1 (40)"
48143,"""Erath, (TX)""",21.3,"20.9 - 24.0 (37)"
48145,"""Falls, (TX)""",27.9,"24.1 - 41.0 (38)"
48147,"""Fannin, (TX)""",16.3,"14.2 - 17.7 (38)"
48149,"""Fayette, (TX)""",15.8,"14.2 - 17.7 (38)"
48151,"""Fisher, (TX)""",-1,
48153,"""Floyd, (TX)""",18,"17.8 - 20.8 (40)"
48155,"""Foard, (TX)""",-1,
48157,"""Fort Bend, (TX)""",13.1,"8.0 - 14.1 (40)"
48159,"""Franklin, (TX)""",26.5,"24.1 - 41.0 (38)"
48161,"""Freestone, (TX)""",37.7,"24.1 - 41.0 (38)"
48163,"""Frio, (TX)""",26.8,"24.1 - 41.0 (38)"
48165,"""Gaines, (TX)""",19.4,"17.8 - 20.8 (40)"
48167,"""Galveston, (TX)""",20.5,"17.8 - 20.8 (40)"
48169,"""Garza, (TX)""",26.3,"24.1 - 41.0 (38)"
48171,"""Gillespie, (TX)""",11.2,"8.0 - 14.1 (40)"
48173,"""Glasscock, (TX)""",-1,
48175,"""Goliad, (TX)""",23.6,"20.9 - 24.0 (37)"
48177,"""Gonzales, (TX)""",16.8,"14.2 - 17.7 (38)"
48179,"""Gray, (TX)""",17.2,"14.2 - 17.7 (38)"
48181,"""Grayson, (TX)""",15.7,"14.2 - 17.7 (38)"
48183,"""Gregg, (TX)""",18.9,"17.8 - 20.8 (40)"
48185,"""Grimes, (TX)""",15.6,"14.2 - 17.7 (38)"
48187,"""Guadalupe, (TX)""",21.2,"20.9 - 24.0 (37)"
48189,"""Hale, (TX)""",17.7,"14.2 - 17.7 (38)"
48191,"""Hall, (TX)""",-1,
48193,"""Hamilton, (TX)""",41,"24.1 - 41.0 (38)"
48195,"""Hansford, (TX)""",-1,
48197,"""Hardeman, (TX)""",14.6,"14.2 - 17.7 (38)"
48199,"""Hardin, (TX)""",17.5,"14.2 - 17.7 (38)"
48201,"""Harris, (TX)""",16.5,"14.2 - 17.7 (38)"
48203,"""Harrison, (TX)""",21.6,"20.9 - 24.0 (37)"
48205,"""Hartley, (TX)""",-1,
48207,"""Haskell, (TX)""",20.2,"17.8 - 20.8 (40)"
48209,"""Hays, (TX)""",12,"8.0 - 14.1 (40)"
48211,"""Hemphill, (TX)""",-1,
48213,"""Henderson, (TX)""",22.4,"20.9 - 24.0 (37)"
48215,"""Hidalgo, (TX)""",20.8,"17.8 - 20.8 (40)"
48217,"""Hill, (TX)""",22.8,"20.9 - 24.0 (37)"
48219,"""Hockley, (TX)""",36.2,"24.1 - 41.0 (38)"
48221,"""Hood, (TX)""",10.2,"8.0 - 14.1 (40)"
48223,"""Hopkins, (TX)""",20.3,"17.8 - 20.8 (40)"
48225,"""Houston, (TX)""",22.3,"20.9 - 24.0 (37)"
48227,"""Howard, (TX)""",21.3,"20.9 - 24.0 (37)"
48229,"""Hudspeth, (TX)""",-1,
48231,"""Hunt, (TX)""",19.9,"17.8 - 20.8 (40)"
48233,"""Hutchinson, (TX)""",11.3,"8.0 - 14.1 (40)"
48235,"""Irion, (TX)""",-1,
48237,"""Jack, (TX)""",22.7,"20.9 - 24.0 (37)"
48239,"""Jackson, (TX)""",12.9,"8.0 - 14.1 (40)"
48241,"""Jasper, (TX)""",19.9,"17.8 - 20.8 (40)"
48243,"""Jeff Davis, (TX)""",-1,
48245,"""Jefferson, (TX)""",18.5,"17.8 - 20.8 (40)"
48247,"""Jim Hogg, (TX)""",-1,
48249,"""Jim Wells, (TX)""",32,"24.1 - 41.0 (38)"
48251,"""Johnson, (TX)""",21.3,"20.9 - 24.0 (37)"
48253,"""Jones, (TX)""",30.9,"24.1 - 41.0 (38)"
48255,"""Karnes, (TX)""",15.2,"14.2 - 17.7 (38)"
48257,"""Kaufman, (TX)""",22.2,"20.9 - 24.0 (37)"
48259,"""Kendall, (TX)""",8.8,"8.0 - 14.1 (40)"
48261,"""Kenedy, (TX)""",-1,
48263,"""Kent, (TX)""",-1,
48265,"""Kerr, (TX)""",8,"8.0 - 14.1 (40)"
48267,"""Kimble, (TX)""",-1,
48269,"""King, (TX)""",-1,
48271,"""Kinney, (TX)""",-1,
48273,"""Kleberg, (TX)""",27,"24.1 - 41.0 (38)"
48275,"""Knox, (TX)""",-1,
48277,"""Lamar, (TX)""",17.2,"14.2 - 17.7 (38)"
48279,"""Lamb, (TX)""",21.6,"20.9 - 24.0 (37)"
48281,"""Lampasas, (TX)""",17.1,"14.2 - 17.7 (38)"
48283,"""La Salle, (TX)""",-1,
48285,"""Lavaca, (TX)""",9.7,"8.0 - 14.1 (40)"
48287,"""Lee, (TX)""",19.1,"17.8 - 20.8 (40)"
48289,"""Leon, (TX)""",25,"24.1 - 41.0 (38)"
48291,"""Liberty, (TX)""",27.9,"24.1 - 41.0 (38)"
48293,"""Limestone, (TX)""",31.6,"24.1 - 41.0 (38)"
48295,"""Lipscomb, (TX)""",22.1,"20.9 - 24.0 (37)"
48297,"""Live Oak, (TX)""",19.9,"17.8 - 20.8 (40)"
48299,"""Llano, (TX)""",13.8,"8.0 - 14.1 (40)"
48301,"""Loving, (TX)""",-1,
48303,"""Lubbock, (TX)""",21.2,"20.9 - 24.0 (37)"
48305,"""Lynn, (TX)""",18,"17.8 - 20.8 (40)"
48307,"""McCulloch, (TX)""",14.6,"14.2 - 17.7 (38)"
48309,"""McLennan, (TX)""",13,"8.0 - 14.1 (40)"
48311,"""McMullen, (TX)""",-1,
48313,"""Madison, (TX)""",11.5,"8.0 - 14.1 (40)"
48315,"""Marion, (TX)""",21.1,"20.9 - 24.0 (37)"
48317,"""Martin, (TX)""",-1,
48319,"""Mason, (TX)""",-1,
48321,"""Matagorda, (TX)""",14.2,"14.2 - 17.7 (38)"
48323,"""Maverick, (TX)""",34.7,"24.1 - 41.0 (38)"
48325,"""Medina, (TX)""",19.9,"17.8 - 20.8 (40)"
48327,"""Menard, (TX)""",-1,
48329,"""Midland, (TX)""",10.8,"8.0 - 14.1 (40)"
48331,"""Milam, (TX)""",15,"14.2 - 17.7 (38)"
48333,"""Mills, (TX)""",19.6,"17.8 - 20.8 (40)"
48335,"""Mitchell, (TX)""",11.5,"8.0 - 14.1 (40)"
48337,"""Montague, (TX)""",27.8,"24.1 - 41.0 (38)"
48339,"""Montgomery, (TX)""",18.8,"17.8 - 20.8 (40)"
48341,"""Moore, (TX)""",25.6,"24.1 - 41.0 (38)"
48343,"""Morris, (TX)""",13.1,"8.0 - 14.1 (40)"
48345,"""Motley, (TX)""",-1,
48347,"""Nacogdoches, (TX)""",21.2,"20.9 - 24.0 (37)"
48349,"""Navarro, (TX)""",17.1,"14.2 - 17.7 (38)"
48351,"""Newton, (TX)""",18,"17.8 - 20.8 (40)"
48353,"""Nolan, (TX)""",28.8,"24.1 - 41.0 (38)"
48355,"""Nueces, (TX)""",19.8,"17.8 - 20.8 (40)"
48357,"""Ochiltree, (TX)""",-1,
48359,"""Oldham, (TX)""",-1,
48361,"""Orange, (TX)""",22.9,"20.9 - 24.0 (37)"
48363,"""Palo Pinto, (TX)""",21.5,"20.9 - 24.0 (37)"
48365,"""Panola, (TX)""",29.4,"24.1 - 41.0 (38)"
48367,"""Parker, (TX)""",16.1,"14.2 - 17.7 (38)"
48369,"""Parmer, (TX)""",-1,
48371,"""Pecos, (TX)""",23.4,"20.9 - 24.0 (37)"
48373,"""Polk, (TX)""",24,"20.9 - 24.0 (37)"
48375,"""Potter, (TX)""",14.1,"8.0 - 14.1 (40)"
48377,"""Presidio, (TX)""",-1,
48379,"""Rains, (TX)""",29.8,"24.1 - 41.0 (38)"
48381,"""Randall, (TX)""",11.2,"8.0 - 14.1 (40)"
48383,"""Reagan, (TX)""",-1,
48385,"""Real, (TX)""",-1,
48387,"""Red River, (TX)""",38.5,"24.1 - 41.0 (38)"
48389,"""Reeves, (TX)""",-1,
48391,"""Refugio, (TX)""",-1,
48393,"""Roberts, (TX)""",-1,
48395,"""Robertson, (TX)""",21.4,"20.9 - 24.0 (37)"
48397,"""Rockwall, (TX)""",12.4,"8.0 - 14.1 (40)"
48399,"""Runnels, (TX)""",9.6,"8.0 - 14.1 (40)"
48401,"""Rusk, (TX)""",24.1,"24.1 - 41.0 (38)"
48403,"""Sabine, (TX)""",20.8,"17.8 - 20.8 (40)"
48405,"""San Augustine, (TX)""",15.7,"14.2 - 17.7 (38)"
48407,"""San Jacinto, (TX)""",30,"24.1 - 41.0 (38)"
48409,"""San Patricio, (TX)""",20.9,"20.9 - 24.0 (37)"
48411,"""San Saba, (TX)""",-1,
48413,"""Schleicher, (TX)""",-1,
48415,"""Scurry, (TX)""",23.2,"20.9 - 24.0 (37)"
48417,"""Shackelford, (TX)""",-1,
48419,"""Shelby, (TX)""",20.6,"17.8 - 20.8 (40)"
48421,"""Sherman, (TX)""",-1,
48423,"""Smith, (TX)""",12.4,"8.0 - 14.1 (40)"
48425,"""Somervell, (TX)""",17,"14.2 - 17.7 (38)"
48427,"""Starr, (TX)""",29.8,"24.1 - 41.0 (38)"
48429,"""Stephens, (TX)""",29,"24.1 - 41.0 (38)"
48431,"""Sterling, (TX)""",-1,
48433,"""Stonewall, (TX)""",-1,
48435,"""Sutton, (TX)""",-1,
48437,"""Swisher, (TX)""",-1,
48439,"""Tarrant, (TX)""",13.1,"8.0 - 14.1 (40)"
48441,"""Taylor, (TX)""",12.8,"8.0 - 14.1 (40)"
48443,"""Terrell, (TX)""",-1,
48445,"""Terry, (TX)""",25.2,"24.1 - 41.0 (38)"
48447,"""Throckmorton, (TX)""",-1,
48449,"""Titus, (TX)""",21.3,"20.9 - 24.0 (37)"
48451,"""Tom Green, (TX)""",12.8,"8.0 - 14.1 (40)"
48453,"""Travis, (TX)""",11.6,"8.0 - 14.1 (40)"
48455,"""Trinity, (TX)""",31,"24.1 - 41.0 (38)"
48457,"""Tyler, (TX)""",18.6,"17.8 - 20.8 (40)"
48459,"""Upshur, (TX)""",21.4,"20.9 - 24.0 (37)"
48461,"""Upton, (TX)""",-1,
48463,"""Uvalde, (TX)""",15.4,"14.2 - 17.7 (38)"
48465,"""Val Verde, (TX)""",19.2,"17.8 - 20.8 (40)"
48467,"""Van Zandt, (TX)""",17.2,"14.2 - 17.7 (38)"
48469,"""Victoria, (TX)""",14.5,"14.2 - 17.7 (38)"
48471,"""Walker, (TX)""",19.2,"17.8 - 20.8 (40)"
48473,"""Waller, (TX)""",18.2,"17.8 - 20.8 (40)"
48475,"""Ward, (TX)""",-1,
48477,"""Washington, (TX)""",13,"8.0 - 14.1 (40)"
48479,"""Webb, (TX)""",23.5,"20.9 - 24.0 (37)"
48481,"""Wharton, (TX)""",16.6,"14.2 - 17.7 (38)"
48483,"""Wheeler, (TX)""",-1,
48485,"""Wichita, (TX)""",15.2,"14.2 - 17.7 (38)"
48487,"""Wilbarger, (TX)""",14.5,"14.2 - 17.7 (38)"
48489,"""Willacy, (TX)""",28.4,"24.1 - 41.0 (38)"
48491,"""Williamson, (TX)""",11.7,"8.0 - 14.1 (40)"
48493,"""Wilson, (TX)""",18.4,"17.8 - 20.8 (40)"
48495,"""Winkler, (TX)""",-1,
48497,"""Wise, (TX)""",19.2,"17.8 - 20.8 (40)"
48499,"""Wood, (TX)""",19.8,"17.8 - 20.8 (40)"
48501,"""Yoakum, (TX)""",-1,
48503,"""Young, (TX)""",19.5,"17.8 - 20.8 (40)"
48505,"""Zapata, (TX)""",26.8,"24.1 - 41.0 (38)"
48507,"""Zavala, (TX)""",30.1,"24.1 - 41.0 (38)"
