"cnty_fips","display_name","Value","theme_range"
48001,"""Anderson, (TX)""",16.6,"15.0 - 18.0 (38)"
48003,"""Andrews, (TX)""",25,"24.1 - 70.3 (36)"
48005,"""Angelina, (TX)""",24,"21.1 - 24.0 (37)"
48007,"""Aransas, (TX)""",18.4,"18.1 - 21.0 (36)"
48009,"""Archer, (TX)""",24.3,"24.1 - 70.3 (36)"
48011,"""Armstrong, (TX)""",-1,
48013,"""Atascosa, (TX)""",20.5,"18.1 - 21.0 (36)"
48015,"""Austin, (TX)""",17.4,"15.0 - 18.0 (38)"
48017,"""Bailey, (TX)""",-1,
48019,"""Bandera, (TX)""",10.4,"8.7 - 14.9 (37)"
48021,"""Bastrop, (TX)""",16.2,"15.0 - 18.0 (38)"
48023,"""Baylor, (TX)""",43.9,"24.1 - 70.3 (36)"
48025,"""Bee, (TX)""",26,"24.1 - 70.3 (36)"
48027,"""Bell, (TX)""",16,"15.0 - 18.0 (38)"
48029,"""Bexar, (TX)""",16.1,"15.0 - 18.0 (38)"
48031,"""Blanco, (TX)""",15.2,"15.0 - 18.0 (38)"
48033,"""Borden, (TX)""",-1,
48035,"""Bosque, (TX)""",19.3,"18.1 - 21.0 (36)"
48037,"""Bowie, (TX)""",21.9,"21.1 - 24.0 (37)"
48039,"""Brazoria, (TX)""",17.5,"15.0 - 18.0 (38)"
48041,"""Brazos, (TX)""",15.3,"15.0 - 18.0 (38)"
48043,"""Brewster, (TX)""",-1,
48045,"""Briscoe, (TX)""",-1,
48047,"""Brooks, (TX)""",20.4,"18.1 - 21.0 (36)"
48049,"""Brown, (TX)""",18.2,"18.1 - 21.0 (36)"
48051,"""Burleson, (TX)""",16.1,"15.0 - 18.0 (38)"
48053,"""Burnet, (TX)""",9.6,"8.7 - 14.9 (37)"
48055,"""Caldwell, (TX)""",18.9,"18.1 - 21.0 (36)"
48057,"""Calhoun, (TX)""",9.5,"8.7 - 14.9 (37)"
48059,"""Callahan, (TX)""",15.1,"15.0 - 18.0 (38)"
48061,"""Cameron, (TX)""",19.6,"18.1 - 21.0 (36)"
48063,"""Camp, (TX)""",12.6,"8.7 - 14.9 (37)"
48065,"""Carson, (TX)""",-1,
48067,"""Cass, (TX)""",17.4,"15.0 - 18.0 (38)"
48069,"""Castro, (TX)""",-1,
48071,"""Chambers, (TX)""",15.9,"15.0 - 18.0 (38)"
48073,"""Cherokee, (TX)""",19.9,"18.1 - 21.0 (36)"
48075,"""Childress, (TX)""",25.4,"24.1 - 70.3 (36)"
48077,"""Clay, (TX)""",12.6,"8.7 - 14.9 (37)"
48079,"""Cochran, (TX)""",-1,
48081,"""Coke, (TX)""",23.3,"21.1 - 24.0 (37)"
48083,"""Coleman, (TX)""",8.7,"8.7 - 14.9 (37)"
48085,"""Collin, (TX)""",16.2,"15.0 - 18.0 (38)"
