"cnty_fips","display_name","Value","theme_range"
48001,"""Anderson, (TX)""",21.8,"18.6 - 22.5 (39)"
48003,"""Andrews, (TX)""",21.7,"18.6 - 22.5 (39)"
48005,"""Angelina, (TX)""",33.4,"32.5 - 95.9 (39)"
48007,"""Aransas, (TX)""",25.8,"22.6 - 27.4 (40)"
48009,"""Archer, (TX)""",-1,
48011,"""Armstrong, (TX)""",-1,
48013,"""Atascosa, (TX)""",29,"27.5 - 32.4 (38)"
48015,"""Austin, (TX)""",23.6,"22.6 - 27.4 (40)"
48017,"""Bailey, (TX)""",38.2,"32.5 - 95.9 (39)"
48019,"""Bandera, (TX)""",15.9,"9.4 - 18.5 (40)"
48021,"""Bastrop, (TX)""",27.4,"22.6 - 27.4 (40)"
48023,"""Baylor, (TX)""",38.8,"32.5 - 95.9 (39)"
48025,"""Bee, (TX)""",39.6,"32.5 - 95.9 (39)"
48027,"""Bell, (TX)""",19,"18.6 - 22.5 (39)"
48029,"""Bexar, (TX)""",19.3,"18.6 - 22.5 (39)"
48031,"""Blanco, (TX)""",14.6,"9.4 - 18.5 (40)"
48033,"""Borden, (TX)""",-1,
48035,"""Bosque, (TX)""",20.8,"18.6 - 22.5 (39)"
48037,"""Bowie, (TX)""",33.9,"32.5 - 95.9 (39)"
48039,"""Brazoria, (TX)""",22.2,"18.6 - 22.5 (39)"
48041,"""Brazos, (TX)""",17.4,"9.4 - 18.5 (40)"
48043,"""Brewster, (TX)""",14.6,"9.4 - 18.5 (40)"
48045,"""Briscoe, (TX)""",-1,
48047,"""Brooks, (TX)""",56.1,"32.5 - 95.9 (39)"
48049,"""Brown, (TX)""",22.3,"18.6 - 22.5 (39)"
48051,"""Burleson, (TX)""",14.7,"9.4 - 18.5 (40)"
48053,"""Burnet, (TX)""",13.4,"9.4 - 18.5 (40)"
48055,"""Caldwell, (TX)""",21,"18.6 - 22.5 (39)"
48057,"""Calhoun, (TX)""",14.7,"9.4 - 18.5 (40)"
48059,"""Callahan, (TX)""",17.6,"9.4 - 18.5 (40)"
48061,"""Cameron, (TX)""",28.6,"27.5 - 32.4 (38)"
48063,"""Camp, (TX)""",39,"32.5 - 95.9 (39)"
48065,"""Carson, (TX)""",-1,
48067,"""Cass, (TX)""",28.3,"27.5 - 32.4 (38)"
48069,"""Castro, (TX)""",-1,
48071,"""Chambers, (TX)""",28.3,"27.5 - 32.4 (38)"
48073,"""Cherokee, (TX)""",19.4,"18.6 - 22.5 (39)"
48075,"""Childress, (TX)""",23.3,"22.6 - 27.4 (40)"
48077,"""Clay, (TX)""",24,"22.6 - 27.4 (40)"
48079,"""Cochran, (TX)""",-1,
48081,"""Coke, (TX)""",-1,
48083,"""Coleman, (TX)""",9.4,"9.4 - 18.5 (40)"
48085,"""Collin, (TX)""",24.2,"22.6 - 27.4 (40)"
48087,"""Collingsworth, (TX)""",35.9,"32.5 - 95.9 (39)"
48089,"""Colorado, (TX)""",25.6,"22.6 - 27.4 (40)"
48091,"""Comal, (TX)""",21.2,"18.6 - 22.5 (39)"
48093,"""Comanche, (TX)""",37.7,"32.5 - 95.9 (39)"
48095,"""Concho, (TX)""",-1,
48097,"""Cooke, (TX)""",30.3,"27.5 - 32.4 (38)"
48099,"""Coryell, (TX)""",29.1,"27.5 - 32.4 (38)"
48101,"""Cottle, (TX)""",-1,
48103,"""Crane, (TX)""",-1,
48105,"""Crockett, (TX)""",-1,
48107,"""Crosby, (TX)""",25.9,"22.6 - 27.4 (40)"
48109,"""Culberson, (TX)""",-1,
48111,"""Dallam, (TX)""",21.3,"18.6 - 22.5 (39)"
48113,"""Dallas, (TX)""",19,"18.6 - 22.5 (39)"
48115,"""Dawson, (TX)""",40.9,"32.5 - 95.9 (39)"
48117,"""Deaf Smith, (TX)""",18.1,"9.4 - 18.5 (40)"
48119,"""Delta, (TX)""",33.1,"32.5 - 95.9 (39)"
48121,"""Denton, (TX)""",22.1,"18.6 - 22.5 (39)"
48123,"""DeWitt, (TX)""",35.3,"32.5 - 95.9 (39)"
48125,"""Dickens, (TX)""",-1,
48127,"""Dimmit, (TX)""",-1,
48129,"""Donley, (TX)""",31.9,"27.5 - 32.4 (38)"
48131,"""Duval, (TX)""",24.3,"22.6 - 27.4 (40)"
48133,"""Eastland, (TX)""",30.7,"27.5 - 32.4 (38)"
48135,"""Ector, (TX)""",25.9,"22.6 - 27.4 (40)"
48137,"""Edwards, (TX)""",36.7,"32.5 - 95.9 (39)"
48139,"""Ellis, (TX)""",22.1,"18.6 - 22.5 (39)"
48141,"""El Paso, (TX)""",14.7,"9.4 - 18.5 (40)"
48143,"""Erath, (TX)""",19.1,"18.6 - 22.5 (39)"
