"cnty_fips","display_name","Value","theme_range"
48001,"""Anderson, (TX)""",63.2,"62.7 - 113.5 (45)"
48003,"""Andrews, (TX)""",35.5,"19.9 - 37.5 (46)"
48005,"""Angelina, (TX)""",51.1,"45.0 - 53.9 (45)"
48007,"""Aransas, (TX)""",25.8,"19.9 - 37.5 (46)"
48009,"""Archer, (TX)""",46.1,"45.0 - 53.9 (45)"
48011,"""Armstrong, (TX)""",63.3,"62.7 - 113.5 (45)"
48013,"""Atascosa, (TX)""",56.5,"54.0 - 62.6 (46)"
48015,"""Austin, (TX)""",35.8,"19.9 - 37.5 (46)"
48017,"""Bailey, (TX)""",26.7,"19.9 - 37.5 (46)"
48019,"""Bandera, (TX)""",41.1,"37.6 - 44.9 (46)"
48021,"""Bastrop, (TX)""",52.3,"45.0 - 53.9 (45)"
48023,"""Baylor, (TX)""",73.9,"62.7 - 113.5 (45)"
48025,"""Bee, (TX)""",87.5,"62.7 - 113.5 (45)"
48027,"""Bell, (TX)""",78.9,"62.7 - 113.5 (45)"
48029,"""Bexar, (TX)""",39.8,"37.6 - 44.9 (46)"
48031,"""Blanco, (TX)""",24.9,"19.9 - 37.5 (46)"
48033,"""Borden, (TX)""",-1,
48035,"""Bosque, (TX)""",40.6,"37.6 - 44.9 (46)"
48037,"""Bowie, (TX)""",60.9,"54.0 - 62.6 (46)"
48039,"""Brazoria, (TX)""",64.8,"62.7 - 113.5 (45)"
48041,"""Brazos, (TX)""",41,"37.6 - 44.9 (46)"
48043,"""Brewster, (TX)""",19.9,"19.9 - 37.5 (46)"
48045,"""Briscoe, (TX)""",-1,
48047,"""Brooks, (TX)""",96.5,"62.7 - 113.5 (45)"
48049,"""Brown, (TX)""",28.9,"19.9 - 37.5 (46)"
48051,"""Burleson, (TX)""",55.8,"54.0 - 62.6 (46)"
48053,"""Burnet, (TX)""",33.4,"19.9 - 37.5 (46)"
48055,"""Caldwell, (TX)""",42.6,"37.6 - 44.9 (46)"
48057,"""Calhoun, (TX)""",40.1,"37.6 - 44.9 (46)"
48059,"""Callahan, (TX)""",62,"54.0 - 62.6 (46)"
48061,"""Cameron, (TX)""",51,"45.0 - 53.9 (45)"
48063,"""Camp, (TX)""",35.3,"19.9 - 37.5 (46)"
48065,"""Carson, (TX)""",45.9,"45.0 - 53.9 (45)"
48067,"""Cass, (TX)""",78.3,"62.7 - 113.5 (45)"
48069,"""Castro, (TX)""",40.9,"37.6 - 44.9 (46)"
48071,"""Chambers, (TX)""",54.9,"54.0 - 62.6 (46)"
48073,"""Cherokee, (TX)""",55.3,"54.0 - 62.6 (46)"
48075,"""Childress, (TX)""",41.2,"37.6 - 44.9 (46)"
48077,"""Clay, (TX)""",65.9,"62.7 - 113.5 (45)"
48079,"""Cochran, (TX)""",57.8,"54.0 - 62.6 (46)"
48081,"""Coke, (TX)""",48.5,"45.0 - 53.9 (45)"
48083,"""Coleman, (TX)""",22.5,"19.9 - 37.5 (46)"
