"cnty_fips","display_name","Value","theme_range"
48001,"""Anderson, (TX)""",39.6,"35.3 - 40.4 (41)"
48003,"""Andrews, (TX)""",24,"11.0 - 24.5 (43)"
48005,"""Angelina, (TX)""",32.7,"30.2 - 35.2 (43)"
48007,"""Aransas, (TX)""",14.8,"11.0 - 24.5 (43)"
48009,"""Archer, (TX)""",32.2,"30.2 - 35.2 (43)"
48011,"""Armstrong, (TX)""",38.4,"35.3 - 40.4 (41)"
48013,"""Atascosa, (TX)""",36.5,"35.3 - 40.4 (41)"
48015,"""Austin, (TX)""",24.3,"11.0 - 24.5 (43)"
48017,"""Bailey, (TX)""",-1,
48019,"""Bandera, (TX)""",28.8,"24.6 - 30.1 (42)"
48021,"""Bastrop, (TX)""",32.6,"30.2 - 35.2 (43)"
48023,"""Baylor, (TX)""",34.7,"30.2 - 35.2 (43)"
48025,"""Bee, (TX)""",57.5,"40.5 - 70.0 (42)"
48027,"""Bell, (TX)""",49.1,"40.5 - 70.0 (42)"
48029,"""Bexar, (TX)""",26.2,"24.6 - 30.1 (42)"
48031,"""Blanco, (TX)""",15.2,"11.0 - 24.5 (43)"
48033,"""Borden, (TX)""",-1,
48035,"""Bosque, (TX)""",24.4,"11.0 - 24.5 (43)"
48037,"""Bowie, (TX)""",39.1,"35.3 - 40.4 (41)"
48039,"""Brazoria, (TX)""",39.4,"35.3 - 40.4 (41)"
48041,"""Brazos, (TX)""",28.2,"24.6 - 30.1 (42)"
48043,"""Brewster, (TX)""",13.6,"11.0 - 24.5 (43)"
48045,"""Briscoe, (TX)""",-1,
48047,"""Brooks, (TX)""",49,"40.5 - 70.0 (42)"
48049,"""Brown, (TX)""",19.3,"11.0 - 24.5 (43)"
48051,"""Burleson, (TX)""",39.7,"35.3 - 40.4 (41)"
48053,"""Burnet, (TX)""",19.7,"11.0 - 24.5 (43)"
48055,"""Caldwell, (TX)""",29.8,"24.6 - 30.1 (42)"
48057,"""Calhoun, (TX)""",21.5,"11.0 - 24.5 (43)"
48059,"""Callahan, (TX)""",35.3,"35.3 - 40.4 (41)"
48061,"""Cameron, (TX)""",32.1,"30.2 - 35.2 (43)"
48063,"""Camp, (TX)""",23.4,"11.0 - 24.5 (43)"
48065,"""Carson, (TX)""",21,"11.0 - 24.5 (43)"
48067,"""Cass, (TX)""",45,"40.5 - 70.0 (42)"
48069,"""Castro, (TX)""",25.7,"24.6 - 30.1 (42)"
48071,"""Chambers, (TX)""",34,"30.2 - 35.2 (43)"
48073,"""Cherokee, (TX)""",38.3,"35.3 - 40.4 (41)"
48075,"""Childress, (TX)""",24.5,"11.0 - 24.5 (43)"
48077,"""Clay, (TX)""",33.7,"30.2 - 35.2 (43)"
48079,"""Cochran, (TX)""",47.3,"40.5 - 70.0 (42)"
48081,"""Coke, (TX)""",35.3,"35.3 - 40.4 (41)"
48083,"""Coleman, (TX)""",11,"11.0 - 24.5 (43)"
48085,"""Collin, (TX)""",26.4,"24.6 - 30.1 (42)"
48087,"""Collingsworth, (TX)""",-1,
48089,"""Colorado, (TX)""",39.7,"35.3 - 40.4 (41)"
48091,"""Comal, (TX)""",19.7,"11.0 - 24.5 (43)"
48093,"""Comanche, (TX)""",17.4,"11.0 - 24.5 (43)"
48095,"""Concho, (TX)""",-1,
48097,"""Cooke, (TX)""",29.7,"24.6 - 30.1 (42)"
48099,"""Coryell, (TX)""",34.9,"30.2 - 35.2 (43)"
48101,"""Cottle, (TX)""",43,"40.5 - 70.0 (42)"
48103,"""Crane, (TX)""",-1,
48105,"""Crockett, (TX)""",-1,
48107,"""Crosby, (TX)""",40.4,"35.3 - 40.4 (41)"
48109,"""Culberson, (TX)""",-1,
48111,"""Dallam, (TX)""",21.7,"11.0 - 24.5 (43)"
48113,"""Dallas, (TX)""",26.8,"24.6 - 30.1 (42)"
48115,"""Dawson, (TX)""",34.4,"30.2 - 35.2 (43)"
48117,"""Deaf Smith, (TX)""",26.5,"24.6 - 30.1 (42)"
48119,"""Delta, (TX)""",26.3,"24.6 - 30.1 (42)"
48121,"""Denton, (TX)""",28.2,"24.6 - 30.1 (42)"
48123,"""DeWitt, (TX)""",35.2,"30.2 - 35.2 (43)"
48125,"""Dickens, (TX)""",-1,
48127,"""Dimmit, (TX)""",49.8,"40.5 - 70.0 (42)"
48129,"""Donley, (TX)""",20.1,"11.0 - 24.5 (43)"
48131,"""Duval, (TX)""",36.8,"35.3 - 40.4 (41)"
48133,"""Eastland, (TX)""",35.7,"35.3 - 40.4 (41)"
48135,"""Ector, (TX)""",34.8,"30.2 - 35.2 (43)"
48137,"""Edwards, (TX)""",47.3,"40.5 - 70.0 (42)"
48139,"""Ellis, (TX)""",33.1,"30.2 - 35.2 (43)"
48141,"""El Paso, (TX)""",21.8,"11.0 - 24.5 (43)"
48143,"""Erath, (TX)""",31.3,"30.2 - 35.2 (43)"
48145,"""Falls, (TX)""",41.9,"40.5 - 70.0 (42)"
48147,"""Fannin, (TX)""",28.7,"24.6 - 30.1 (42)"
48149,"""Fayette, (TX)""",28.8,"24.6 - 30.1 (42)"
48151,"""Fisher, (TX)""",22.5,"11.0 - 24.5 (43)"
48153,"""Floyd, (TX)""",19.5,"11.0 - 24.5 (43)"
