"cnty_fips","display_name","Value","theme_range"
48001,"""Anderson, (TX)""",17.5,"15.6 - 18.4 (37)"
48003,"""Andrews, (TX)""",25.5,"23.4 - 27.6 (37)"
48005,"""Angelina, (TX)""",27.8,"27.7 - 72.4 (35)"
48007,"""Aransas, (TX)""",19.4,"18.5 - 23.3 (38)"
48009,"""Archer, (TX)""",27.2,"23.4 - 27.6 (37)"
48011,"""Armstrong, (TX)""",-1,
48013,"""Atascosa, (TX)""",24.7,"23.4 - 27.6 (37)"
48015,"""Austin, (TX)""",23,"18.5 - 23.3 (38)"
48017,"""Bailey, (TX)""",-1,
48019,"""Bandera, (TX)""",11.7,"6.2 - 15.5 (37)"
48021,"""Bastrop, (TX)""",16.6,"15.6 - 18.4 (37)"
48023,"""Baylor, (TX)""",50.9,"27.7 - 72.4 (35)"
48025,"""Bee, (TX)""",28.5,"27.7 - 72.4 (35)"
48027,"""Bell, (TX)""",15.8,"15.6 - 18.4 (37)"
48029,"""Bexar, (TX)""",16.4,"15.6 - 18.4 (37)"
48031,"""Blanco, (TX)""",14.6,"6.2 - 15.5 (37)"
48033,"""Borden, (TX)""",-1,
48035,"""Bosque, (TX)""",20.5,"18.5 - 23.3 (38)"
48037,"""Bowie, (TX)""",23.6,"23.4 - 27.6 (37)"
48039,"""Brazoria, (TX)""",17.4,"15.6 - 18.4 (37)"
48041,"""Brazos, (TX)""",17.5,"15.6 - 18.4 (37)"
48043,"""Brewster, (TX)""",-1,
48045,"""Briscoe, (TX)""",-1,
48047,"""Brooks, (TX)""",32.9,"27.7 - 72.4 (35)"
48049,"""Brown, (TX)""",23.3,"18.5 - 23.3 (38)"
48051,"""Burleson, (TX)""",15.7,"15.6 - 18.4 (37)"
48053,"""Burnet, (TX)""",10,"6.2 - 15.5 (37)"
48055,"""Caldwell, (TX)""",18.2,"15.6 - 18.4 (37)"
48057,"""Calhoun, (TX)""",6.2,"6.2 - 15.5 (37)"
48059,"""Callahan, (TX)""",14.7,"6.2 - 15.5 (37)"
48061,"""Cameron, (TX)""",23.5,"23.4 - 27.6 (37)"
48063,"""Camp, (TX)""",14.4,"6.2 - 15.5 (37)"
48065,"""Carson, (TX)""",-1,
48067,"""Cass, (TX)""",21.4,"18.5 - 23.3 (38)"
48069,"""Castro, (TX)""",-1,
48071,"""Chambers, (TX)""",17.9,"15.6 - 18.4 (37)"
48073,"""Cherokee, (TX)""",18.3,"15.6 - 18.4 (37)"
48075,"""Childress, (TX)""",25,"23.4 - 27.6 (37)"
48077,"""Clay, (TX)""",-1,
48079,"""Cochran, (TX)""",-1,
48081,"""Coke, (TX)""",-1,
48083,"""Coleman, (TX)""",-1,
48085,"""Collin, (TX)""",17.2,"15.6 - 18.4 (37)"
48087,"""Collingsworth, (TX)""",-1,
48089,"""Colorado, (TX)""",17.1,"15.6 - 18.4 (37)"
48091,"""Comal, (TX)""",15.5,"6.2 - 15.5 (37)"
48093,"""Comanche, (TX)""",29.5,"27.7 - 72.4 (35)"
48095,"""Concho, (TX)""",-1,
48097,"""Cooke, (TX)""",21.1,"18.5 - 23.3 (38)"
48099,"""Coryell, (TX)""",24.4,"23.4 - 27.6 (37)"
48101,"""Cottle, (TX)""",-1,
48103,"""Crane, (TX)""",-1,
48105,"""Crockett, (TX)""",-1,
48107,"""Crosby, (TX)""",24.5,"23.4 - 27.6 (37)"
48109,"""Culberson, (TX)""",-1,
48111,"""Dallam, (TX)""",16.3,"15.6 - 18.4 (37)"
48113,"""Dallas, (TX)""",16.2,"15.6 - 18.4 (37)"
48115,"""Dawson, (TX)""",29.2,"27.7 - 72.4 (35)"
48117,"""Deaf Smith, (TX)""",12.1,"6.2 - 15.5 (37)"
48119,"""Delta, (TX)""",28.3,"27.7 - 72.4 (35)"
48121,"""Denton, (TX)""",18.6,"18.5 - 23.3 (38)"
48123,"""DeWitt, (TX)""",32,"27.7 - 72.4 (35)"
