"cnty_fips","display_name","Value","theme_range"
48001,"""Anderson, (TX)""",11.9,"3.9 - 12.5 (37)"
48003,"""Andrews, (TX)""",21.7,"19.5 - 23.7 (37)"
48005,"""Angelina, (TX)""",21.7,"19.5 - 23.7 (37)"
48007,"""Aransas, (TX)""",12.2,"3.9 - 12.5 (37)"
48009,"""Archer, (TX)""",15.3,"12.6 - 15.7 (37)"
48011,"""Armstrong, (TX)""",-1,
48013,"""Atascosa, (TX)""",25.3,"23.8 - 38.1 (36)"
48015,"""Austin, (TX)""",15.2,"12.6 - 15.7 (37)"
48017,"""Bailey, (TX)""",-1,
48019,"""Bandera, (TX)""",12.8,"12.6 - 15.7 (37)"
48021,"""Bastrop, (TX)""",18.6,"15.8 - 19.4 (36)"
48023,"""Baylor, (TX)""",14,"12.6 - 15.7 (37)"
48025,"""Bee, (TX)""",30.1,"23.8 - 38.1 (36)"
48027,"""Bell, (TX)""",19,"15.8 - 19.4 (36)"
48029,"""Bexar, (TX)""",14.1,"12.6 - 15.7 (37)"
48031,"""Blanco, (TX)""",9.5,"3.9 - 12.5 (37)"
48033,"""Borden, (TX)""",-1,
48035,"""Bosque, (TX)""",20.3,"19.5 - 23.7 (37)"
48037,"""Bowie, (TX)""",21.7,"19.5 - 23.7 (37)"
48039,"""Brazoria, (TX)""",17.7,"15.8 - 19.4 (36)"
48041,"""Brazos, (TX)""",15.3,"12.6 - 15.7 (37)"
48043,"""Brewster, (TX)""",11.9,"3.9 - 12.5 (37)"
48045,"""Briscoe, (TX)""",-1,
48047,"""Brooks, (TX)""",25.1,"23.8 - 38.1 (36)"
48049,"""Brown, (TX)""",15.1,"12.6 - 15.7 (37)"
48051,"""Burleson, (TX)""",12.8,"12.6 - 15.7 (37)"
48053,"""Burnet, (TX)""",9.9,"3.9 - 12.5 (37)"
48055,"""Caldwell, (TX)""",9.4,"3.9 - 12.5 (37)"
48057,"""Calhoun, (TX)""",6.3,"3.9 - 12.5 (37)"
48059,"""Callahan, (TX)""",12.3,"3.9 - 12.5 (37)"
48061,"""Cameron, (TX)""",21,"19.5 - 23.7 (37)"
48063,"""Camp, (TX)""",-1,
48065,"""Carson, (TX)""",20,"19.5 - 23.7 (37)"
48067,"""Cass, (TX)""",23.3,"19.5 - 23.7 (37)"
48069,"""Castro, (TX)""",-1,
48071,"""Chambers, (TX)""",11.5,"3.9 - 12.5 (37)"
48073,"""Cherokee, (TX)""",15.8,"15.8 - 19.4 (36)"
48075,"""Childress, (TX)""",18.1,"15.8 - 19.4 (36)"
48077,"""Clay, (TX)""",-1,
48079,"""Cochran, (TX)""",-1,
48081,"""Coke, (TX)""",-1,
48083,"""Coleman, (TX)""",-1,
48085,"""Collin, (TX)""",15.3,"12.6 - 15.7 (37)"
48087,"""Collingsworth, (TX)""",-1,
48089,"""Colorado, (TX)""",15,"12.6 - 15.7 (37)"
48091,"""Comal, (TX)""",11,"3.9 - 12.5 (37)"
48093,"""Comanche, (TX)""",27.2,"23.8 - 38.1 (36)"
48095,"""Concho, (TX)""",-1,
48097,"""Cooke, (TX)""",20.8,"19.5 - 23.7 (37)"
48099,"""Coryell, (TX)""",20.5,"19.5 - 23.7 (37)"
48101,"""Cottle, (TX)""",-1,
48103,"""Crane, (TX)""",-1,
48105,"""Crockett, (TX)""",-1,
48107,"""Crosby, (TX)""",-1,
48109,"""Culberson, (TX)""",-1,
48111,"""Dallam, (TX)""",9.3,"3.9 - 12.5 (37)"
48113,"""Dallas, (TX)""",12.8,"12.6 - 15.7 (37)"
48115,"""Dawson, (TX)""",21.7,"19.5 - 23.7 (37)"
48117,"""Deaf Smith, (TX)""",15.2,"12.6 - 15.7 (37)"
48119,"""Delta, (TX)""",16.3,"15.8 - 19.4 (36)"
48121,"""Denton, (TX)""",17.6,"15.8 - 19.4 (36)"
48123,"""DeWitt, (TX)""",17.7,"15.8 - 19.4 (36)"
48125,"""Dickens, (TX)""",-1,
48127,"""Dimmit, (TX)""",32.6,"23.8 - 38.1 (36)"
48129,"""Donley, (TX)""",-1,
48131,"""Duval, (TX)""",28,"23.8 - 38.1 (36)"
48133,"""Eastland, (TX)""",25.7,"23.8 - 38.1 (36)"
48135,"""Ector, (TX)""",20.1,"19.5 - 23.7 (37)"
48137,"""Edwards, (TX)""",-1,
48139,"""Ellis, (TX)""",14.5,"12.6 - 15.7 (37)"
48141,"""El Paso, (TX)""",10.2,"3.9 - 12.5 (37)"
48143,"""Erath, (TX)""",20,"19.5 - 23.7 (37)"
48145,"""Falls, (TX)""",18,"15.8 - 19.4 (36)"
48147,"""Fannin, (TX)""",11.2,"3.9 - 12.5 (37)"
48149,"""Fayette, (TX)""",15.7,"12.6 - 15.7 (37)"
48151,"""Fisher, (TX)""",-1,
48153,"""Floyd, (TX)""",-1,
48155,"""Foard, (TX)""",-1,
48157,"""Fort Bend, (TX)""",12.6,"12.6 - 15.7 (37)"
48159,"""Franklin, (TX)""",20,"19.5 - 23.7 (37)"
48161,"""Freestone, (TX)""",37.7,"23.8 - 38.1 (36)"
48163,"""Frio, (TX)""",30,"23.8 - 38.1 (36)"
48165,"""Gaines, (TX)""",10.5,"3.9 - 12.5 (37)"
48167,"""Galveston, (TX)""",19.5,"19.5 - 23.7 (37)"
48169,"""Garza, (TX)""",25.2,"23.8 - 38.1 (36)"
48171,"""Gillespie, (TX)""",9.7,"3.9 - 12.5 (37)"
48173,"""Glasscock, (TX)""",-1,
48175,"""Goliad, (TX)""",26.4,"23.8 - 38.1 (36)"
48177,"""Gonzales, (TX)""",15.1,"12.6 - 15.7 (37)"
48179,"""Gray, (TX)""",13.9,"12.6 - 15.7 (37)"
48181,"""Grayson, (TX)""",12.4,"3.9 - 12.5 (37)"
48183,"""Gregg, (TX)""",19.4,"15.8 - 19.4 (36)"
48185,"""Grimes, (TX)""",12.5,"3.9 - 12.5 (37)"
48187,"""Guadalupe, (TX)""",21.2,"19.5 - 23.7 (37)"
48189,"""Hale, (TX)""",17.4,"15.8 - 19.4 (36)"
48191,"""Hall, (TX)""",-1,
48193,"""Hamilton, (TX)""",38.1,"23.8 - 38.1 (36)"
48195,"""Hansford, (TX)""",-1,
48197,"""Hardeman, (TX)""",15.6,"12.6 - 15.7 (37)"
48199,"""Hardin, (TX)""",15.3,"12.6 - 15.7 (37)"
48201,"""Harris, (TX)""",15.5,"12.6 - 15.7 (37)"
48203,"""Harrison, (TX)""",23.8,"23.8 - 38.1 (36)"
48205,"""Hartley, (TX)""",-1,
48207,"""Haskell, (TX)""",14.3,"12.6 - 15.7 (37)"
48209,"""Hays, (TX)""",11.1,"3.9 - 12.5 (37)"
48211,"""Hemphill, (TX)""",-1,
48213,"""Henderson, (TX)""",21.4,"19.5 - 23.7 (37)"
48215,"""Hidalgo, (TX)""",20.8,"19.5 - 23.7 (37)"
48217,"""Hill, (TX)""",18.6,"15.8 - 19.4 (36)"
48219,"""Hockley, (TX)""",26.8,"23.8 - 38.1 (36)"
48221,"""Hood, (TX)""",10.5,"3.9 - 12.5 (37)"
48223,"""Hopkins, (TX)""",17.1,"15.8 - 19.4 (36)"
48225,"""Houston, (TX)""",21.5,"19.5 - 23.7 (37)"
48227,"""Howard, (TX)""",17.3,"15.8 - 19.4 (36)"
48229,"""Hudspeth, (TX)""",-1,
48231,"""Hunt, (TX)""",19.5,"19.5 - 23.7 (37)"
48233,"""Hutchinson, (TX)""",8.3,"3.9 - 12.5 (37)"
48235,"""Irion, (TX)""",-1,
48237,"""Jack, (TX)""",29.7,"23.8 - 38.1 (36)"
48239,"""Jackson, (TX)""",8.6,"3.9 - 12.5 (37)"
48241,"""Jasper, (TX)""",15.4,"12.6 - 15.7 (37)"
48243,"""Jeff Davis, (TX)""",-1,
48245,"""Jefferson, (TX)""",16.2,"15.8 - 19.4 (36)"
48247,"""Jim Hogg, (TX)""",20.5,"19.5 - 23.7 (37)"
48249,"""Jim Wells, (TX)""",27.2,"23.8 - 38.1 (36)"
48251,"""Johnson, (TX)""",21.7,"19.5 - 23.7 (37)"
48253,"""Jones, (TX)""",22,"19.5 - 23.7 (37)"
