"cnty_fips","display_name","Value","theme_range"
48001,"""Anderson, (TX)""",19.1,"18.0 - 22.0 (38)"
48003,"""Andrews, (TX)""",21.8,"18.0 - 22.0 (38)"
48005,"""Angelina, (TX)""",33,"30.8 - 84.6 (38)"
48007,"""Aransas, (TX)""",23.2,"22.1 - 26.3 (41)"
48009,"""Archer, (TX)""",-1,
48011,"""Armstrong, (TX)""",-1,
48013,"""Atascosa, (TX)""",28.2,"26.4 - 30.7 (37)"
48015,"""Austin, (TX)""",26.8,"26.4 - 30.7 (37)"
48017,"""Bailey, (TX)""",29.3,"26.4 - 30.7 (37)"
48019,"""Bandera, (TX)""",16.4,"10.2 - 17.9 (40)"
48021,"""Bastrop, (TX)""",24.9,"22.1 - 26.3 (41)"
48023,"""Baylor, (TX)""",40.2,"30.8 - 84.6 (38)"
48025,"""Bee, (TX)""",35.3,"30.8 - 84.6 (38)"
48027,"""Bell, (TX)""",17.1,"10.2 - 17.9 (40)"
48029,"""Bexar, (TX)""",18.1,"18.0 - 22.0 (38)"
48031,"""Blanco, (TX)""",10.4,"10.2 - 17.9 (40)"
48033,"""Borden, (TX)""",-1,
48035,"""Bosque, (TX)""",18.9,"18.0 - 22.0 (38)"
48037,"""Bowie, (TX)""",31.1,"30.8 - 84.6 (38)"
48039,"""Brazoria, (TX)""",19.8,"18.0 - 22.0 (38)"
48041,"""Brazos, (TX)""",18.4,"18.0 - 22.0 (38)"
48043,"""Brewster, (TX)""",12.2,"10.2 - 17.9 (40)"
48045,"""Briscoe, (TX)""",-1,
48047,"""Brooks, (TX)""",56,"30.8 - 84.6 (38)"
48049,"""Brown, (TX)""",23.8,"22.1 - 26.3 (41)"
48051,"""Burleson, (TX)""",15.8,"10.2 - 17.9 (40)"
48053,"""Burnet, (TX)""",11.5,"10.2 - 17.9 (40)"
48055,"""Caldwell, (TX)""",15.8,"10.2 - 17.9 (40)"
48057,"""Calhoun, (TX)""",12.8,"10.2 - 17.9 (40)"
48059,"""Callahan, (TX)""",16.4,"10.2 - 17.9 (40)"
48061,"""Cameron, (TX)""",29.2,"26.4 - 30.7 (37)"
48063,"""Camp, (TX)""",30.3,"26.4 - 30.7 (37)"
48065,"""Carson, (TX)""",-1,
48067,"""Cass, (TX)""",26.3,"22.1 - 26.3 (41)"
48069,"""Castro, (TX)""",-1,
48071,"""Chambers, (TX)""",29.9,"26.4 - 30.7 (37)"
48073,"""Cherokee, (TX)""",19.1,"18.0 - 22.0 (38)"
48075,"""Childress, (TX)""",22.7,"22.1 - 26.3 (41)"
48077,"""Clay, (TX)""",18.6,"18.0 - 22.0 (38)"
48079,"""Cochran, (TX)""",-1,
48081,"""Coke, (TX)""",-1,
48083,"""Coleman, (TX)""",11.6,"10.2 - 17.9 (40)"
48085,"""Collin, (TX)""",20.5,"18.0 - 22.0 (38)"
48087,"""Collingsworth, (TX)""",-1,
48089,"""Colorado, (TX)""",18,"18.0 - 22.0 (38)"
48091,"""Comal, (TX)""",18.7,"18.0 - 22.0 (38)"
48093,"""Comanche, (TX)""",37.4,"30.8 - 84.6 (38)"
48095,"""Concho, (TX)""",-1,
48097,"""Cooke, (TX)""",27.7,"26.4 - 30.7 (37)"
48099,"""Coryell, (TX)""",28.9,"26.4 - 30.7 (37)"
48101,"""Cottle, (TX)""",-1,
48103,"""Crane, (TX)""",-1,
48105,"""Crockett, (TX)""",-1,
48107,"""Crosby, (TX)""",29.5,"26.4 - 30.7 (37)"
48109,"""Culberson, (TX)""",-1,
48111,"""Dallam, (TX)""",21.5,"18.0 - 22.0 (38)"
48113,"""Dallas, (TX)""",17.9,"10.2 - 17.9 (40)"
48115,"""Dawson, (TX)""",36,"30.8 - 84.6 (38)"
48117,"""Deaf Smith, (TX)""",17.7,"10.2 - 17.9 (40)"
48119,"""Delta, (TX)""",39.5,"30.8 - 84.6 (38)"
48121,"""Denton, (TX)""",22.2,"22.1 - 26.3 (41)"
48123,"""DeWitt, (TX)""",37.8,"30.8 - 84.6 (38)"
48125,"""Dickens, (TX)""",-1,
48127,"""Dimmit, (TX)""",29.6,"26.4 - 30.7 (37)"
48129,"""Donley, (TX)""",38.7,"30.8 - 84.6 (38)"
48131,"""Duval, (TX)""",26.8,"26.4 - 30.7 (37)"
48133,"""Eastland, (TX)""",31.4,"30.8 - 84.6 (38)"
48135,"""Ector, (TX)""",25.4,"22.1 - 26.3 (41)"
48137,"""Edwards, (TX)""",32.7,"30.8 - 84.6 (38)"
48139,"""Ellis, (TX)""",20.8,"18.0 - 22.0 (38)"
48141,"""El Paso, (TX)""",14,"10.2 - 17.9 (40)"
48143,"""Erath, (TX)""",21.7,"18.0 - 22.0 (38)"
48145,"""Falls, (TX)""",34.3,"30.8 - 84.6 (38)"
48147,"""Fannin, (TX)""",21.8,"18.0 - 22.0 (38)"
48149,"""Fayette, (TX)""",22.5,"22.1 - 26.3 (41)"
48151,"""Fisher, (TX)""",31.6,"30.8 - 84.6 (38)"
48153,"""Floyd, (TX)""",-1,
48155,"""Foard, (TX)""",-1,
48157,"""Fort Bend, (TX)""",18.3,"18.0 - 22.0 (38)"
48159,"""Franklin, (TX)""",24.4,"22.1 - 26.3 (41)"
48161,"""Freestone, (TX)""",37.9,"30.8 - 84.6 (38)"
48163,"""Frio, (TX)""",29.6,"26.4 - 30.7 (37)"
48165,"""Gaines, (TX)""",17.3,"10.2 - 17.9 (40)"
48167,"""Galveston, (TX)""",26.9,"26.4 - 30.7 (37)"
48169,"""Garza, (TX)""",-1,
48171,"""Gillespie, (TX)""",10.4,"10.2 - 17.9 (40)"
48173,"""Glasscock, (TX)""",-1,
48175,"""Goliad, (TX)""",18.2,"18.0 - 22.0 (38)"
48177,"""Gonzales, (TX)""",22.2,"22.1 - 26.3 (41)"
48179,"""Gray, (TX)""",25.6,"22.1 - 26.3 (41)"
48181,"""Grayson, (TX)""",25,"22.1 - 26.3 (41)"
48183,"""Gregg, (TX)""",28.7,"26.4 - 30.7 (37)"
48185,"""Grimes, (TX)""",14.6,"10.2 - 17.9 (40)"
48187,"""Guadalupe, (TX)""",23.9,"22.1 - 26.3 (41)"
48189,"""Hale, (TX)""",22.3,"22.1 - 26.3 (41)"
48191,"""Hall, (TX)""",-1,
48193,"""Hamilton, (TX)""",80.5,"30.8 - 84.6 (38)"
48195,"""Hansford, (TX)""",-1,
48197,"""Hardeman, (TX)""",-1,
48199,"""Hardin, (TX)""",18.6,"18.0 - 22.0 (38)"
48201,"""Harris, (TX)""",21.3,"18.0 - 22.0 (38)"
48203,"""Harrison, (TX)""",30.1,"26.4 - 30.7 (37)"
48205,"""Hartley, (TX)""",-1,
48207,"""Haskell, (TX)""",-1,
48209,"""Hays, (TX)""",13.7,"10.2 - 17.9 (40)"
48211,"""Hemphill, (TX)""",-1,
48213,"""Henderson, (TX)""",29.3,"26.4 - 30.7 (37)"
48215,"""Hidalgo, (TX)""",26.6,"26.4 - 30.7 (37)"
48217,"""Hill, (TX)""",24.3,"22.1 - 26.3 (41)"
48219,"""Hockley, (TX)""",39.6,"30.8 - 84.6 (38)"
48221,"""Hood, (TX)""",15.6,"10.2 - 17.9 (40)"
48223,"""Hopkins, (TX)""",22.4,"22.1 - 26.3 (41)"
48225,"""Houston, (TX)""",37.5,"30.8 - 84.6 (38)"
48227,"""Howard, (TX)""",25.2,"22.1 - 26.3 (41)"
48229,"""Hudspeth, (TX)""",-1,
48231,"""Hunt, (TX)""",33.7,"30.8 - 84.6 (38)"
48233,"""Hutchinson, (TX)""",15.6,"10.2 - 17.9 (40)"
48235,"""Irion, (TX)""",-1,
48237,"""Jack, (TX)""",33.7,"30.8 - 84.6 (38)"
48239,"""Jackson, (TX)""",26.3,"22.1 - 26.3 (41)"
