"cnty_fips","display_name","Value","theme_range"
48001,"""Anderson, (TX)""",12.4,"8.2 - 13.6 (36)"
48003,"""Andrews, (TX)""",17.8,"15.9 - 18.1 (38)"
48005,"""Angelina, (TX)""",19.4,"18.2 - 21.4 (33)"
48007,"""Aransas, (TX)""",15.5,"13.7 - 15.8 (34)"
48009,"""Archer, (TX)""",-1,
48011,"""Armstrong, (TX)""",-1,
48013,"""Atascosa, (TX)""",9.9,"8.2 - 13.6 (36)"
48015,"""Austin, (TX)""",16,"15.9 - 18.1 (38)"
48017,"""Bailey, (TX)""",-1,
48019,"""Bandera, (TX)""",11,"8.2 - 13.6 (36)"
48021,"""Bastrop, (TX)""",18.1,"15.9 - 18.1 (38)"
48023,"""Baylor, (TX)""",29.2,"21.5 - 42.3 (33)"
48025,"""Bee, (TX)""",28.9,"21.5 - 42.3 (33)"
48027,"""Bell, (TX)""",15.8,"13.7 - 15.8 (34)"
48029,"""Bexar, (TX)""",13.5,"8.2 - 13.6 (36)"
48031,"""Blanco, (TX)""",11.2,"8.2 - 13.6 (36)"
48033,"""Borden, (TX)""",-1,
48035,"""Bosque, (TX)""",16.1,"15.9 - 18.1 (38)"
48037,"""Bowie, (TX)""",18.1,"15.9 - 18.1 (38)"
48039,"""Brazoria, (TX)""",17.1,"15.9 - 18.1 (38)"
48041,"""Brazos, (TX)""",15.4,"13.7 - 15.8 (34)"
48043,"""Brewster, (TX)""",-1,
48045,"""Briscoe, (TX)""",-1,
48047,"""Brooks, (TX)""",-1,
48049,"""Brown, (TX)""",14,"13.7 - 15.8 (34)"
48051,"""Burleson, (TX)""",17.6,"15.9 - 18.1 (38)"
48053,"""Burnet, (TX)""",10.3,"8.2 - 13.6 (36)"
48055,"""Caldwell, (TX)""",11,"8.2 - 13.6 (36)"
48057,"""Calhoun, (TX)""",9.3,"8.2 - 13.6 (36)"
48059,"""Callahan, (TX)""",12.4,"8.2 - 13.6 (36)"
48061,"""Cameron, (TX)""",15.3,"13.7 - 15.8 (34)"
48063,"""Camp, (TX)""",-1,
48065,"""Carson, (TX)""",-1,
48067,"""Cass, (TX)""",17.8,"15.9 - 18.1 (38)"
48069,"""Castro, (TX)""",-1,
48071,"""Chambers, (TX)""",12.7,"8.2 - 13.6 (36)"
48073,"""Cherokee, (TX)""",12.6,"8.2 - 13.6 (36)"
48075,"""Childress, (TX)""",-1,
48077,"""Clay, (TX)""",12.4,"8.2 - 13.6 (36)"
48079,"""Cochran, (TX)""",-1,
48081,"""Coke, (TX)""",27.8,"21.5 - 42.3 (33)"
48083,"""Coleman, (TX)""",10.2,"8.2 - 13.6 (36)"
48085,"""Collin, (TX)""",13.3,"8.2 - 13.6 (36)"
48087,"""Collingsworth, (TX)""",-1,
48089,"""Colorado, (TX)""",18.3,"18.2 - 21.4 (33)"
48091,"""Comal, (TX)""",13,"8.2 - 13.6 (36)"
48093,"""Comanche, (TX)""",14.4,"13.7 - 15.8 (34)"
48095,"""Concho, (TX)""",-1,
48097,"""Cooke, (TX)""",17.4,"15.9 - 18.1 (38)"
48099,"""Coryell, (TX)""",14.8,"13.7 - 15.8 (34)"
48101,"""Cottle, (TX)""",-1,
48103,"""Crane, (TX)""",-1,
48105,"""Crockett, (TX)""",-1,
48107,"""Crosby, (TX)""",-1,
48109,"""Culberson, (TX)""",-1,
48111,"""Dallam, (TX)""",-1,
48113,"""Dallas, (TX)""",14.6,"13.7 - 15.8 (34)"
48115,"""Dawson, (TX)""",19.9,"18.2 - 21.4 (33)"
48117,"""Deaf Smith, (TX)""",15,"13.7 - 15.8 (34)"
48119,"""Delta, (TX)""",25.8,"21.5 - 42.3 (33)"
48121,"""Denton, (TX)""",15.1,"13.7 - 15.8 (34)"
48123,"""DeWitt, (TX)""",14.1,"13.7 - 15.8 (34)"
48125,"""Dickens, (TX)""",-1,
48127,"""Dimmit, (TX)""",23.1,"21.5 - 42.3 (33)"
48129,"""Donley, (TX)""",-1,
48131,"""Duval, (TX)""",33.3,"21.5 - 42.3 (33)"
48133,"""Eastland, (TX)""",17.7,"15.9 - 18.1 (38)"
48135,"""Ector, (TX)""",20.8,"18.2 - 21.4 (33)"
48137,"""Edwards, (TX)""",-1,
48139,"""Ellis, (TX)""",14.9,"13.7 - 15.8 (34)"
48141,"""El Paso, (TX)""",10.5,"8.2 - 13.6 (36)"
48143,"""Erath, (TX)""",19.3,"18.2 - 21.4 (33)"
48145,"""Falls, (TX)""",20.6,"18.2 - 21.4 (33)"
48147,"""Fannin, (TX)""",18.4,"18.2 - 21.4 (33)"
48149,"""Fayette, (TX)""",16.1,"15.9 - 18.1 (38)"
48151,"""Fisher, (TX)""",-1,
48153,"""Floyd, (TX)""",-1,
48155,"""Foard, (TX)""",-1,
48157,"""Fort Bend, (TX)""",14.5,"13.7 - 15.8 (34)"
48159,"""Franklin, (TX)""",29.3,"21.5 - 42.3 (33)"
48161,"""Freestone, (TX)""",12.4,"8.2 - 13.6 (36)"
