"cnty_fips","display_name","Value","theme_range"
48001,"""Anderson, (TX)""",13.7,"12.6 - 14.6 (33)"
48003,"""Andrews, (TX)""",-1,
48005,"""Angelina, (TX)""",13,"12.6 - 14.6 (33)"
48007,"""Aransas, (TX)""",7.9,"6.0 - 10.7 (38)"
48009,"""Archer, (TX)""",-1,
48011,"""Armstrong, (TX)""",-1,
48013,"""Atascosa, (TX)""",15.1,"14.7 - 17.1 (34)"
48015,"""Austin, (TX)""",12.2,"10.8 - 12.5 (34)"
48017,"""Bailey, (TX)""",-1,
48019,"""Bandera, (TX)""",15.1,"14.7 - 17.1 (34)"
48021,"""Bastrop, (TX)""",13.2,"12.6 - 14.6 (33)"
48023,"""Baylor, (TX)""",16.5,"14.7 - 17.1 (34)"
48025,"""Bee, (TX)""",26.7,"17.2 - 35.1 (34)"
48027,"""Bell, (TX)""",18.3,"17.2 - 35.1 (34)"
48029,"""Bexar, (TX)""",10.7,"6.0 - 10.7 (38)"
48031,"""Blanco, (TX)""",7,"6.0 - 10.7 (38)"
48033,"""Borden, (TX)""",-1,
48035,"""Bosque, (TX)""",11,"10.8 - 12.5 (34)"
48037,"""Bowie, (TX)""",14.4,"12.6 - 14.6 (33)"
48039,"""Brazoria, (TX)""",13.8,"12.6 - 14.6 (33)"
48041,"""Brazos, (TX)""",13.4,"12.6 - 14.6 (33)"
48043,"""Brewster, (TX)""",-1,
48045,"""Briscoe, (TX)""",-1,
48047,"""Brooks, (TX)""",24.9,"17.2 - 35.1 (34)"
48049,"""Brown, (TX)""",8.1,"6.0 - 10.7 (38)"
48051,"""Burleson, (TX)""",18.4,"17.2 - 35.1 (34)"
48053,"""Burnet, (TX)""",7.1,"6.0 - 10.7 (38)"
48055,"""Caldwell, (TX)""",9,"6.0 - 10.7 (38)"
48057,"""Calhoun, (TX)""",-1,
48059,"""Callahan, (TX)""",15,"14.7 - 17.1 (34)"
48061,"""Cameron, (TX)""",11.8,"10.8 - 12.5 (34)"
48063,"""Camp, (TX)""",11.1,"10.8 - 12.5 (34)"
48065,"""Carson, (TX)""",-1,
48067,"""Cass, (TX)""",15.2,"14.7 - 17.1 (34)"
48069,"""Castro, (TX)""",-1,
48071,"""Chambers, (TX)""",8.7,"6.0 - 10.7 (38)"
48073,"""Cherokee, (TX)""",17.1,"14.7 - 17.1 (34)"
48075,"""Childress, (TX)""",14.5,"12.6 - 14.6 (33)"
48077,"""Clay, (TX)""",10.4,"6.0 - 10.7 (38)"
48079,"""Cochran, (TX)""",-1,
48081,"""Coke, (TX)""",-1,
48083,"""Coleman, (TX)""",-1,
48085,"""Collin, (TX)""",11.9,"10.8 - 12.5 (34)"
48087,"""Collingsworth, (TX)""",-1,
48089,"""Colorado, (TX)""",15.5,"14.7 - 17.1 (34)"
48091,"""Comal, (TX)""",7.5,"6.0 - 10.7 (38)"
48093,"""Comanche, (TX)""",6,"6.0 - 10.7 (38)"
48095,"""Concho, (TX)""",-1,
48097,"""Cooke, (TX)""",12.5,"10.8 - 12.5 (34)"
48099,"""Coryell, (TX)""",12.8,"12.6 - 14.6 (33)"
48101,"""Cottle, (TX)""",-1,
48103,"""Crane, (TX)""",-1,
48105,"""Crockett, (TX)""",-1,
48107,"""Crosby, (TX)""",21.9,"17.2 - 35.1 (34)"
48109,"""Culberson, (TX)""",-1,
48111,"""Dallam, (TX)""",-1,
48113,"""Dallas, (TX)""",10.7,"6.0 - 10.7 (38)"
48115,"""Dawson, (TX)""",10.4,"6.0 - 10.7 (38)"
48117,"""Deaf Smith, (TX)""",11.6,"10.8 - 12.5 (34)"
48119,"""Delta, (TX)""",-1,
48121,"""Denton, (TX)""",10.7,"6.0 - 10.7 (38)"
48123,"""DeWitt, (TX)""",12.7,"12.6 - 14.6 (33)"
48125,"""Dickens, (TX)""",-1,
48127,"""Dimmit, (TX)""",35.1,"17.2 - 35.1 (34)"
48129,"""Donley, (TX)""",-1,
48131,"""Duval, (TX)""",18.9,"17.2 - 35.1 (34)"
48133,"""Eastland, (TX)""",14.8,"14.7 - 17.1 (34)"
48135,"""Ector, (TX)""",14.5,"12.6 - 14.6 (33)"
48137,"""Edwards, (TX)""",26.2,"17.2 - 35.1 (34)"
48139,"""Ellis, (TX)""",12.7,"12.6 - 14.6 (33)"
48141,"""El Paso, (TX)""",9.3,"6.0 - 10.7 (38)"
48143,"""Erath, (TX)""",13.5,"12.6 - 14.6 (33)"
48145,"""Falls, (TX)""",17.7,"17.2 - 35.1 (34)"
48147,"""Fannin, (TX)""",9.4,"6.0 - 10.7 (38)"
48149,"""Fayette, (TX)""",12.4,"10.8 - 12.5 (34)"
48151,"""Fisher, (TX)""",-1,
48153,"""Floyd, (TX)""",-1,
48155,"""Foard, (TX)""",-1,
48157,"""Fort Bend, (TX)""",11.9,"10.8 - 12.5 (34)"
48159,"""Franklin, (TX)""",23.5,"17.2 - 35.1 (34)"
48161,"""Freestone, (TX)""",16.2,"14.7 - 17.1 (34)"
48163,"""Frio, (TX)""",23.7,"17.2 - 35.1 (34)"
48165,"""Gaines, (TX)""",12.2,"10.8 - 12.5 (34)"
48167,"""Galveston, (TX)""",12.4,"10.8 - 12.5 (34)"
48169,"""Garza, (TX)""",-1,
48171,"""Gillespie, (TX)""",6.3,"6.0 - 10.7 (38)"
48173,"""Glasscock, (TX)""",-1,
48175,"""Goliad, (TX)""",-1,
48177,"""Gonzales, (TX)""",8.7,"6.0 - 10.7 (38)"
48179,"""Gray, (TX)""",14.6,"12.6 - 14.6 (33)"
48181,"""Grayson, (TX)""",13.3,"12.6 - 14.6 (33)"
48183,"""Gregg, (TX)""",14.9,"14.7 - 17.1 (34)"
48185,"""Grimes, (TX)""",11.4,"10.8 - 12.5 (34)"
48187,"""Guadalupe, (TX)""",12,"10.8 - 12.5 (34)"
48189,"""Hale, (TX)""",9.9,"6.0 - 10.7 (38)"
48191,"""Hall, (TX)""",-1,
48193,"""Hamilton, (TX)""",32.3,"17.2 - 35.1 (34)"
48195,"""Hansford, (TX)""",-1,
48197,"""Hardeman, (TX)""",-1,
48199,"""Hardin, (TX)""",9,"6.0 - 10.7 (38)"
48201,"""Harris, (TX)""",11.4,"10.8 - 12.5 (34)"
48203,"""Harrison, (TX)""",17.7,"17.2 - 35.1 (34)"
48205,"""Hartley, (TX)""",-1,
48207,"""Haskell, (TX)""",-1,
48209,"""Hays, (TX)""",11,"10.8 - 12.5 (34)"
48211,"""Hemphill, (TX)""",-1,
48213,"""Henderson, (TX)""",14.3,"12.6 - 14.6 (33)"
48215,"""Hidalgo, (TX)""",17.2,"17.2 - 35.1 (34)"
48217,"""Hill, (TX)""",15.1,"14.7 - 17.1 (34)"
48219,"""Hockley, (TX)""",14.9,"14.7 - 17.1 (34)"
48221,"""Hood, (TX)""",9,"6.0 - 10.7 (38)"
48223,"""Hopkins, (TX)""",12.5,"10.8 - 12.5 (34)"
48225,"""Houston, (TX)""",19.7,"17.2 - 35.1 (34)"
48227,"""Howard, (TX)""",11.8,"10.8 - 12.5 (34)"
48229,"""Hudspeth, (TX)""",-1,
48231,"""Hunt, (TX)""",12.5,"10.8 - 12.5 (34)"
48233,"""Hutchinson, (TX)""",8.8,"6.0 - 10.7 (38)"
48235,"""Irion, (TX)""",-1,
48237,"""Jack, (TX)""",17.6,"17.2 - 35.1 (34)"
48239,"""Jackson, (TX)""",9.3,"6.0 - 10.7 (38)"
48241,"""Jasper, (TX)""",16.4,"14.7 - 17.1 (34)"
48243,"""Jeff Davis, (TX)""",-1,
48245,"""Jefferson, (TX)""",12.6,"12.6 - 14.6 (33)"
48247,"""Jim Hogg, (TX)""",26.9,"17.2 - 35.1 (34)"
48249,"""Jim Wells, (TX)""",23.5,"17.2 - 35.1 (34)"
48251,"""Johnson, (TX)""",17.9,"17.2 - 35.1 (34)"
48253,"""Jones, (TX)""",14.3,"12.6 - 14.6 (33)"
48255,"""Karnes, (TX)""",11.1,"10.8 - 12.5 (34)"
48257,"""Kaufman, (TX)""",17.4,"17.2 - 35.1 (34)"
48259,"""Kendall, (TX)""",8,"6.0 - 10.7 (38)"
48261,"""Kenedy, (TX)""",-1,
48263,"""Kent, (TX)""",-1,
48265,"""Kerr, (TX)""",8.7,"6.0 - 10.7 (38)"
48267,"""Kimble, (TX)""",-1,
48269,"""King, (TX)""",-1,
48271,"""Kinney, (TX)""",-1,
48273,"""Kleberg, (TX)""",23.2,"17.2 - 35.1 (34)"
48275,"""Knox, (TX)""",-1,
48277,"""Lamar, (TX)""",16.4,"14.7 - 17.1 (34)"
48279,"""Lamb, (TX)""",11.4,"10.8 - 12.5 (34)"
48281,"""Lampasas, (TX)""",9.6,"6.0 - 10.7 (38)"
48283,"""La Salle, (TX)""",-1,
48285,"""Lavaca, (TX)""",6.5,"6.0 - 10.7 (38)"
48287,"""Lee, (TX)""",15.8,"14.7 - 17.1 (34)"
48289,"""Leon, (TX)""",11.7,"10.8 - 12.5 (34)"
48291,"""Liberty, (TX)""",23.6,"17.2 - 35.1 (34)"
48293,"""Limestone, (TX)""",16,"14.7 - 17.1 (34)"
48295,"""Lipscomb, (TX)""",-1,
48297,"""Live Oak, (TX)""",14.7,"14.7 - 17.1 (34)"
48299,"""Llano, (TX)""",11.3,"10.8 - 12.5 (34)"
48301,"""Loving, (TX)""",-1,
48303,"""Lubbock, (TX)""",12.9,"12.6 - 14.6 (33)"
48305,"""Lynn, (TX)""",-1,
48307,"""McCulloch, (TX)""",-1,
48309,"""McLennan, (TX)""",9.8,"6.0 - 10.7 (38)"
48311,"""McMullen, (TX)""",-1,
48313,"""Madison, (TX)""",11.4,"10.8 - 12.5 (34)"
48315,"""Marion, (TX)""",-1,
48317,"""Martin, (TX)""",-1,
48319,"""Mason, (TX)""",-1,
48321,"""Matagorda, (TX)""",14,"12.6 - 14.6 (33)"
48323,"""Maverick, (TX)""",16.6,"14.7 - 17.1 (34)"
48325,"""Medina, (TX)""",13.7,"12.6 - 14.6 (33)"
48327,"""Menard, (TX)""",-1,
48329,"""Midland, (TX)""",9.6,"6.0 - 10.7 (38)"
48331,"""Milam, (TX)""",11.2,"10.8 - 12.5 (34)"
48333,"""Mills, (TX)""",-1,
48335,"""Mitchell, (TX)""",-1,
48337,"""Montague, (TX)""",16.7,"14.7 - 17.1 (34)"
48339,"""Montgomery, (TX)""",15,"14.7 - 17.1 (34)"
48341,"""Moore, (TX)""",13.7,"12.6 - 14.6 (33)"
48343,"""Morris, (TX)""",13.5,"12.6 - 14.6 (33)"
48345,"""Motley, (TX)""",-1,
48347,"""Nacogdoches, (TX)""",12.2,"10.8 - 12.5 (34)"
48349,"""Navarro, (TX)""",16.2,"14.7 - 17.1 (34)"
48351,"""Newton, (TX)""",13.7,"12.6 - 14.6 (33)"
48353,"""Nolan, (TX)""",21.4,"17.2 - 35.1 (34)"
48355,"""Nueces, (TX)""",14.6,"12.6 - 14.6 (33)"
48357,"""Ochiltree, (TX)""",-1,
48359,"""Oldham, (TX)""",-1,
48361,"""Orange, (TX)""",12.4,"10.8 - 12.5 (34)"
48363,"""Palo Pinto, (TX)""",14.7,"14.7 - 17.1 (34)"
48365,"""Panola, (TX)""",16.2,"14.7 - 17.1 (34)"
48367,"""Parker, (TX)""",10,"6.0 - 10.7 (38)"
48369,"""Parmer, (TX)""",-1,
48371,"""Pecos, (TX)""",22.9,"17.2 - 35.1 (34)"
48373,"""Polk, (TX)""",11.5,"10.8 - 12.5 (34)"
48375,"""Potter, (TX)""",11.1,"10.8 - 12.5 (34)"
48377,"""Presidio, (TX)""",-1,
48379,"""Rains, (TX)""",12.7,"12.6 - 14.6 (33)"
48381,"""Randall, (TX)""",9.3,"6.0 - 10.7 (38)"
48383,"""Reagan, (TX)""",-1,
48385,"""Real, (TX)""",18.7,"17.2 - 35.1 (34)"
48387,"""Red River, (TX)""",23.5,"17.2 - 35.1 (34)"
48389,"""Reeves, (TX)""",-1,
48391,"""Refugio, (TX)""",11.8,"10.8 - 12.5 (34)"
48393,"""Roberts, (TX)""",-1,
48395,"""Robertson, (TX)""",14.8,"14.7 - 17.1 (34)"
48397,"""Rockwall, (TX)""",10.7,"6.0 - 10.7 (38)"
48399,"""Runnels, (TX)""",7.2,"6.0 - 10.7 (38)"
48401,"""Rusk, (TX)""",19.5,"17.2 - 35.1 (34)"
