,cnty_fips,display_name,Y,theme_range,gender,race,year
87,48175,"""Goliad, (TX)""",-1.0,,1,2,2006-2008
88,48177,"""Gonzales, (TX)""",-1.0,,1,2,2006-2008
89,48179,"""Gray, (TX)""",-1.0,,1,2,2006-2008
90,48181,"""Grayson, (TX)""",-1.0,,1,2,2006-2008
91,48183,"""Gregg, (TX)""",23.9,12.1 - 23.9 (13),1,2,2006-2008
92,48185,"""Grimes, (TX)""",-1.0,,1,2,2006-2008
93,48187,"""Guadalupe, (TX)""",30.6,28.2 - 34.6 (12),1,2,2006-2008
94,48189,"""Hale, (TX)""",-1.0,,1,2,2006-2008
95,48191,"""Hall, (TX)""",-1.0,,1,2,2006-2008
96,48193,"""Hamilton, (TX)""",-1.0,,1,2,2006-2008
97,48195,"""Hansford, (TX)""",-1.0,,1,2,2006-2008
98,48197,"""Hardeman, (TX)""",-1.0,,1,2,2006-2008
99,48199,"""Hardin, (TX)""",-1.0,,1,2,2006-2008
100,48201,"""Harris, (TX)""",27.0,24.0 - 28.1 (13),1,2,2006-2008
101,48203,"""Harrison, (TX)""",27.7,24.0 - 28.1 (13),1,2,2006-2008
102,48205,"""Hartley, (TX)""",-1.0,,1,2,2006-2008
103,48207,"""Haskell, (TX)""",-1.0,,1,2,2006-2008
104,48209,"""Hays, (TX)""",-1.0,,1,2,2006-2008
105,48211,"""Hemphill, (TX)""",-1.0,,1,2,2006-2008
106,48213,"""Henderson, (TX)""",27.4,24.0 - 28.1 (13),1,2,2006-2008
107,48215,"""Hidalgo, (TX)""",-1.0,,1,2,2006-2008
108,48217,"""Hill, (TX)""",-1.0,,1,2,2006-2008
109,48219,"""Hockley, (TX)""",-1.0,,1,2,2006-2008
110,48221,"""Hood, (TX)""",-1.0,,1,2,2006-2008
111,48223,"""Hopkins, (TX)""",-1.0,,1,2,2006-2008
112,48225,"""Houston, (TX)""",30.6,28.2 - 34.6 (12),1,2,2006-2008
113,48227,"""Howard, (TX)""",-1.0,,1,2,2006-2008
114,48229,"""Hudspeth, (TX)""",-1.0,,1,2,2006-2008
115,48231,"""Hunt, (TX)""",50.2,45.0 - 62.6 (12),1,2,2006-2008
116,48233,"""Hutchinson, (TX)""",-1.0,,1,2,2006-2008
117,48235,"""Irion, (TX)""",-1.0,,1,2,2006-2008
118,48237,"""Jack, (TX)""",-1.0,,1,2,2006-2008
119,48239,"""Jackson, (TX)""",-1.0,,1,2,2006-2008
120,48241,"""Jasper, (TX)""",22.6,12.1 - 23.9 (13),1,2,2006-2008
121,48243,"""Jeff Davis, (TX)""",-1.0,,1,2,2006-2008
122,48245,"""Jefferson, (TX)""",29.2,28.2 - 34.6 (12),1,2,2006-2008
123,48247,"""Jim Hogg, (TX)""",-1.0,,1,2,2006-2008
124,48249,"""Jim Wells, (TX)""",-1.0,,1,2,2006-2008
125,48251,"""Johnson, (TX)""",-1.0,,1,2,2006-2008
126,48253,"""Jones, (TX)""",-1.0,,1,2,2006-2008
127,48255,"""Karnes, (TX)""",-1.0,,1,2,2006-2008
128,48257,"""Kaufman, (TX)""",43.9,34.7 - 44.9 (13),1,2,2006-2008
129,48259,"""Kendall, (TX)""",-1.0,,1,2,2006-2008
130,48261,"""Kenedy, (TX)""",-1.0,,1,2,2006-2008
131,48263,"""Kent, (TX)""",-1.0,,1,2,2006-2008
132,48265,"""Kerr, (TX)""",-1.0,,1,2,2006-2008
133,48267,"""Kimble, (TX)""",-1.0,,1,2,2006-2008
134,48269,"""King, (TX)""",-1.0,,1,2,2006-2008
135,48271,"""Kinney, (TX)""",-1.0,,1,2,2006-2008
136,48273,"""Kleberg, (TX)""",-1.0,,1,2,2006-2008
137,48275,"""Knox, (TX)""",-1.0,,1,2,2006-2008
138,48277,"""Lamar, (TX)""",32.9,28.2 - 34.6 (12),1,2,2006-2008
139,48279,"""Lamb, (TX)""",-1.0,,1,2,2006-2008
140,48281,"""Lampasas, (TX)""",-1.0,,1,2,2006-2008
141,48283,"""La Salle, (TX)""",-1.0,,1,2,2006-2008
142,48285,"""Lavaca, (TX)""",-1.0,,1,2,2006-2008
143,48287,"""Lee, (TX)""",-1.0,,1,2,2006-2008
144,48289,"""Leon, (TX)""",-1.0,,1,2,2006-2008
145,48291,"""Liberty, (TX)""",31.4,28.2 - 34.6 (12),1,2,2006-2008
146,48293,"""Limestone, (TX)""",46.9,45.0 - 62.6 (12),1,2,2006-2008
