"cnty_fips","display_name","Value","theme_range"
48001,"""Anderson, (TX)""",17.1,"14.9 - 18.5 (40)"
48003,"""Andrews, (TX)""",20.8,"18.6 - 22.0 (41)"
48005,"""Angelina, (TX)""",30.1,"25.9 - 46.3 (40)"
48007,"""Aransas, (TX)""",17.3,"14.9 - 18.5 (40)"
48009,"""Archer, (TX)""",-1,
48011,"""Armstrong, (TX)""",-1,
48013,"""Atascosa, (TX)""",27.8,"25.9 - 46.3 (40)"
48015,"""Austin, (TX)""",18,"14.9 - 18.5 (40)"
48017,"""Bailey, (TX)""",27.9,"25.9 - 46.3 (40)"
48019,"""Bandera, (TX)""",12.6,"9.6 - 14.8 (41)"
48021,"""Bastrop, (TX)""",16.9,"14.9 - 18.5 (40)"
48023,"""Baylor, (TX)""",22.8,"22.1 - 25.8 (40)"
48025,"""Bee, (TX)""",40.2,"25.9 - 46.3 (40)"
48027,"""Bell, (TX)""",19,"18.6 - 22.0 (41)"
48029,"""Bexar, (TX)""",15.7,"14.9 - 18.5 (40)"
48031,"""Blanco, (TX)""",10.8,"9.6 - 14.8 (41)"
48033,"""Borden, (TX)""",-1,
48035,"""Bosque, (TX)""",26.7,"25.9 - 46.3 (40)"
48037,"""Bowie, (TX)""",24.3,"22.1 - 25.8 (40)"
48039,"""Brazoria, (TX)""",17.2,"14.9 - 18.5 (40)"
48041,"""Brazos, (TX)""",13.9,"9.6 - 14.8 (41)"
48043,"""Brewster, (TX)""",12.7,"9.6 - 14.8 (41)"
48045,"""Briscoe, (TX)""",-1,
48047,"""Brooks, (TX)""",20.8,"18.6 - 22.0 (41)"
48049,"""Brown, (TX)""",18.6,"18.6 - 22.0 (41)"
48051,"""Burleson, (TX)""",19,"18.6 - 22.0 (41)"
48053,"""Burnet, (TX)""",14.9,"14.9 - 18.5 (40)"
48055,"""Caldwell, (TX)""",13.9,"9.6 - 14.8 (41)"
48057,"""Calhoun, (TX)""",13,"9.6 - 14.8 (41)"
48059,"""Callahan, (TX)""",15.8,"14.9 - 18.5 (40)"
48061,"""Cameron, (TX)""",21.8,"18.6 - 22.0 (41)"
48063,"""Camp, (TX)""",23.8,"22.1 - 25.8 (40)"
48065,"""Carson, (TX)""",16.9,"14.9 - 18.5 (40)"
48067,"""Cass, (TX)""",24.2,"22.1 - 25.8 (40)"
48069,"""Castro, (TX)""",15.6,"14.9 - 18.5 (40)"
48071,"""Chambers, (TX)""",24.6,"22.1 - 25.8 (40)"
48073,"""Cherokee, (TX)""",15.8,"14.9 - 18.5 (40)"
48075,"""Childress, (TX)""",19.3,"18.6 - 22.0 (41)"
48077,"""Clay, (TX)""",15.9,"14.9 - 18.5 (40)"
48079,"""Cochran, (TX)""",39.2,"25.9 - 46.3 (40)"
48081,"""Coke, (TX)""",-1,
48083,"""Coleman, (TX)""",10.7,"9.6 - 14.8 (41)"
48085,"""Collin, (TX)""",17.7,"14.9 - 18.5 (40)"
48087,"""Collingsworth, (TX)""",-1,
48089,"""Colorado, (TX)""",23,"22.1 - 25.8 (40)"
48091,"""Comal, (TX)""",12.5,"9.6 - 14.8 (41)"
48093,"""Comanche, (TX)""",31.6,"25.9 - 46.3 (40)"
48095,"""Concho, (TX)""",-1,
48097,"""Cooke, (TX)""",20.4,"18.6 - 22.0 (41)"
48099,"""Coryell, (TX)""",19.7,"18.6 - 22.0 (41)"
48101,"""Cottle, (TX)""",-1,
48103,"""Crane, (TX)""",34,"25.9 - 46.3 (40)"
48105,"""Crockett, (TX)""",-1,
48107,"""Crosby, (TX)""",28.4,"25.9 - 46.3 (40)"
48109,"""Culberson, (TX)""",-1,
48111,"""Dallam, (TX)""",11.6,"9.6 - 14.8 (41)"
48113,"""Dallas, (TX)""",14.6,"9.6 - 14.8 (41)"
48115,"""Dawson, (TX)""",30.8,"25.9 - 46.3 (40)"
48117,"""Deaf Smith, (TX)""",18.7,"18.6 - 22.0 (41)"
48119,"""Delta, (TX)""",19.8,"18.6 - 22.0 (41)"
48121,"""Denton, (TX)""",19.9,"18.6 - 22.0 (41)"
48123,"""DeWitt, (TX)""",22,"18.6 - 22.0 (41)"
48125,"""Dickens, (TX)""",-1,
48127,"""Dimmit, (TX)""",40.6,"25.9 - 46.3 (40)"
48129,"""Donley, (TX)""",-1,
48131,"""Duval, (TX)""",33.5,"25.9 - 46.3 (40)"
48133,"""Eastland, (TX)""",24.2,"22.1 - 25.8 (40)"
48135,"""Ector, (TX)""",21,"18.6 - 22.0 (41)"
48137,"""Edwards, (TX)""",22.4,"22.1 - 25.8 (40)"
48139,"""Ellis, (TX)""",14.9,"14.9 - 18.5 (40)"
48141,"""El Paso, (TX)""",13.1,"9.6 - 14.8 (41)"
