"cnty_fips","display_name","Value","theme_range"
48001,"""Anderson, (TX)""",43,"41.3 - 47.9 (43)"
48003,"""Andrews, (TX)""",37.6,"36.6 - 41.2 (42)"
48005,"""Angelina, (TX)""",43.8,"41.3 - 47.9 (43)"
48007,"""Aransas, (TX)""",33.8,"31.3 - 36.5 (42)"
48009,"""Archer, (TX)""",40.7,"36.6 - 41.2 (42)"
48011,"""Armstrong, (TX)""",-1,
48013,"""Atascosa, (TX)""",37.9,"36.6 - 41.2 (42)"
48015,"""Austin, (TX)""",38.4,"36.6 - 41.2 (42)"
48017,"""Bailey, (TX)""",36,"31.3 - 36.5 (42)"
48019,"""Bandera, (TX)""",22.9,"15.4 - 31.2 (42)"
48021,"""Bastrop, (TX)""",43.6,"41.3 - 47.9 (43)"
48023,"""Baylor, (TX)""",55.9,"48.0 - 78.1 (41)"
48025,"""Bee, (TX)""",48.2,"48.0 - 78.1 (41)"
48027,"""Bell, (TX)""",44.8,"41.3 - 47.9 (43)"
48029,"""Bexar, (TX)""",30.3,"15.4 - 31.2 (42)"
48031,"""Blanco, (TX)""",31.2,"15.4 - 31.2 (42)"
48033,"""Borden, (TX)""",-1,
48035,"""Bosque, (TX)""",35,"31.3 - 36.5 (42)"
48037,"""Bowie, (TX)""",47.4,"41.3 - 47.9 (43)"
48039,"""Brazoria, (TX)""",47.9,"41.3 - 47.9 (43)"
48041,"""Brazos, (TX)""",34.1,"31.3 - 36.5 (42)"
48043,"""Brewster, (TX)""",30.1,"15.4 - 31.2 (42)"
48045,"""Briscoe, (TX)""",-1,
48047,"""Brooks, (TX)""",75.9,"48.0 - 78.1 (41)"
48049,"""Brown, (TX)""",30.5,"15.4 - 31.2 (42)"
48051,"""Burleson, (TX)""",40.4,"36.6 - 41.2 (42)"
48053,"""Burnet, (TX)""",26.1,"15.4 - 31.2 (42)"
48055,"""Caldwell, (TX)""",39.7,"36.6 - 41.2 (42)"
48057,"""Calhoun, (TX)""",26.3,"15.4 - 31.2 (42)"
48059,"""Callahan, (TX)""",44.2,"41.3 - 47.9 (43)"
48061,"""Cameron, (TX)""",34.8,"31.3 - 36.5 (42)"
48063,"""Camp, (TX)""",36.3,"31.3 - 36.5 (42)"
48065,"""Carson, (TX)""",24.9,"15.4 - 31.2 (42)"
48067,"""Cass, (TX)""",55.7,"48.0 - 78.1 (41)"
48069,"""Castro, (TX)""",25.7,"15.4 - 31.2 (42)"
48071,"""Chambers, (TX)""",40.9,"36.6 - 41.2 (42)"
48073,"""Cherokee, (TX)""",35.8,"31.3 - 36.5 (42)"
48075,"""Childress, (TX)""",-1,
48077,"""Clay, (TX)""",33.4,"31.3 - 36.5 (42)"
48079,"""Cochran, (TX)""",74.1,"48.0 - 78.1 (41)"
48081,"""Coke, (TX)""",28.3,"15.4 - 31.2 (42)"
48083,"""Coleman, (TX)""",15.4,"15.4 - 31.2 (42)"
48085,"""Collin, (TX)""",33,"31.3 - 36.5 (42)"
48087,"""Collingsworth, (TX)""",-1,
48089,"""Colorado, (TX)""",47.5,"41.3 - 47.9 (43)"
48091,"""Comal, (TX)""",24.6,"15.4 - 31.2 (42)"
48093,"""Comanche, (TX)""",19.2,"15.4 - 31.2 (42)"
48095,"""Concho, (TX)""",40.5,"36.6 - 41.2 (42)"
48097,"""Cooke, (TX)""",34.4,"31.3 - 36.5 (42)"
48099,"""Coryell, (TX)""",43.8,"41.3 - 47.9 (43)"
48101,"""Cottle, (TX)""",-1,
48103,"""Crane, (TX)""",-1,
48105,"""Crockett, (TX)""",-1,
48107,"""Crosby, (TX)""",28.2,"15.4 - 31.2 (42)"
48109,"""Culberson, (TX)""",-1,
48111,"""Dallam, (TX)""",38.2,"36.6 - 41.2 (42)"
48113,"""Dallas, (TX)""",33.7,"31.3 - 36.5 (42)"
48115,"""Dawson, (TX)""",46.9,"41.3 - 47.9 (43)"
48117,"""Deaf Smith, (TX)""",23.2,"15.4 - 31.2 (42)"
48119,"""Delta, (TX)""",38.6,"36.6 - 41.2 (42)"
48121,"""Denton, (TX)""",36,"31.3 - 36.5 (42)"
48123,"""DeWitt, (TX)""",49.3,"48.0 - 78.1 (41)"
48125,"""Dickens, (TX)""",67.8,"48.0 - 78.1 (41)"
48127,"""Dimmit, (TX)""",35.2,"31.3 - 36.5 (42)"
48129,"""Donley, (TX)""",-1,
48131,"""Duval, (TX)""",63.8,"48.0 - 78.1 (41)"
48133,"""Eastland, (TX)""",37,"36.6 - 41.2 (42)"
48135,"""Ector, (TX)""",44.8,"41.3 - 47.9 (43)"
48137,"""Edwards, (TX)""",32.8,"31.3 - 36.5 (42)"
