"cnty_fips","display_name","Value","theme_range"
48001,"""Anderson, (TX)""",13,"11.4 - 13.4 (35)"
48003,"""Andrews, (TX)""",12.9,"11.4 - 13.4 (35)"
48005,"""Angelina, (TX)""",13.3,"11.4 - 13.4 (35)"
48007,"""Aransas, (TX)""",10.4,"5.3 - 11.3 (36)"
48009,"""Archer, (TX)""",-1,
48011,"""Armstrong, (TX)""",-1,
48013,"""Atascosa, (TX)""",21,"19.8 - 43.4 (35)"
48015,"""Austin, (TX)""",14.3,"13.5 - 15.9 (38)"
48017,"""Bailey, (TX)""",-1,
48019,"""Bandera, (TX)""",19,"16.0 - 19.7 (33)"
48021,"""Bastrop, (TX)""",17,"16.0 - 19.7 (33)"
48023,"""Baylor, (TX)""",13.5,"13.5 - 15.9 (38)"
48025,"""Bee, (TX)""",25.2,"19.8 - 43.4 (35)"
48027,"""Bell, (TX)""",16.5,"16.0 - 19.7 (33)"
48029,"""Bexar, (TX)""",12.2,"11.4 - 13.4 (35)"
48031,"""Blanco, (TX)""",6.9,"5.3 - 11.3 (36)"
48033,"""Borden, (TX)""",-1,
48035,"""Bosque, (TX)""",10,"5.3 - 11.3 (36)"
48037,"""Bowie, (TX)""",14.7,"13.5 - 15.9 (38)"
48039,"""Brazoria, (TX)""",13.7,"13.5 - 15.9 (38)"
48041,"""Brazos, (TX)""",11.6,"11.4 - 13.4 (35)"
48043,"""Brewster, (TX)""",-1,
48045,"""Briscoe, (TX)""",-1,
48047,"""Brooks, (TX)""",30.7,"19.8 - 43.4 (35)"
48049,"""Brown, (TX)""",10.3,"5.3 - 11.3 (36)"
48051,"""Burleson, (TX)""",22.2,"19.8 - 43.4 (35)"
48053,"""Burnet, (TX)""",8.7,"5.3 - 11.3 (36)"
48055,"""Caldwell, (TX)""",10.3,"5.3 - 11.3 (36)"
48057,"""Calhoun, (TX)""",-1,
48059,"""Callahan, (TX)""",11.5,"11.4 - 13.4 (35)"
48061,"""Cameron, (TX)""",14.2,"13.5 - 15.9 (38)"
48063,"""Camp, (TX)""",-1,
48065,"""Carson, (TX)""",16.4,"16.0 - 19.7 (33)"
48067,"""Cass, (TX)""",16.9,"16.0 - 19.7 (33)"
48069,"""Castro, (TX)""",-1,
48071,"""Chambers, (TX)""",8.4,"5.3 - 11.3 (36)"
48073,"""Cherokee, (TX)""",14.8,"13.5 - 15.9 (38)"
48075,"""Childress, (TX)""",16.8,"16.0 - 19.7 (33)"
48077,"""Clay, (TX)""",9.4,"5.3 - 11.3 (36)"
48079,"""Cochran, (TX)""",-1,
48081,"""Coke, (TX)""",-1,
48083,"""Coleman, (TX)""",-1,
48085,"""Collin, (TX)""",12.7,"11.4 - 13.4 (35)"
48087,"""Collingsworth, (TX)""",-1,
48089,"""Colorado, (TX)""",17.1,"16.0 - 19.7 (33)"
48091,"""Comal, (TX)""",8.5,"5.3 - 11.3 (36)"
48093,"""Comanche, (TX)""",12.5,"11.4 - 13.4 (35)"
48095,"""Concho, (TX)""",-1,
48097,"""Cooke, (TX)""",16.7,"16.0 - 19.7 (33)"
48099,"""Coryell, (TX)""",15.9,"13.5 - 15.9 (38)"
48101,"""Cottle, (TX)""",-1,
48103,"""Crane, (TX)""",-1,
48105,"""Crockett, (TX)""",-1,
48107,"""Crosby, (TX)""",-1,
48109,"""Culberson, (TX)""",-1,
48111,"""Dallam, (TX)""",-1,
48113,"""Dallas, (TX)""",11.3,"5.3 - 11.3 (36)"
48115,"""Dawson, (TX)""",9.9,"5.3 - 11.3 (36)"
48117,"""Deaf Smith, (TX)""",10.6,"5.3 - 11.3 (36)"
48119,"""Delta, (TX)""",-1,
48121,"""Denton, (TX)""",12,"11.4 - 13.4 (35)"
48123,"""DeWitt, (TX)""",12.8,"11.4 - 13.4 (35)"
48125,"""Dickens, (TX)""",-1,
48127,"""Dimmit, (TX)""",43.4,"19.8 - 43.4 (35)"
48129,"""Donley, (TX)""",-1,
48131,"""Duval, (TX)""",19.6,"16.0 - 19.7 (33)"
48133,"""Eastland, (TX)""",22.6,"19.8 - 43.4 (35)"
48135,"""Ector, (TX)""",17.2,"16.0 - 19.7 (33)"
48137,"""Edwards, (TX)""",24,"19.8 - 43.4 (35)"
48139,"""Ellis, (TX)""",15.4,"13.5 - 15.9 (38)"
48141,"""El Paso, (TX)""",9.9,"5.3 - 11.3 (36)"
48143,"""Erath, (TX)""",13.8,"13.5 - 15.9 (38)"
48145,"""Falls, (TX)""",23.8,"19.8 - 43.4 (35)"
48147,"""Fannin, (TX)""",10.8,"5.3 - 11.3 (36)"
48149,"""Fayette, (TX)""",15.5,"13.5 - 15.9 (38)"
48151,"""Fisher, (TX)""",-1,
48153,"""Floyd, (TX)""",-1,
48155,"""Foard, (TX)""",-1,
48157,"""Fort Bend, (TX)""",11,"5.3 - 11.3 (36)"
48159,"""Franklin, (TX)""",19.7,"16.0 - 19.7 (33)"
48161,"""Freestone, (TX)""",20.4,"19.8 - 43.4 (35)"
48163,"""Frio, (TX)""",22.1,"19.8 - 43.4 (35)"
48165,"""Gaines, (TX)""",-1,
