"cnty_fips","display_name","Value","theme_range"
48001,"""Anderson, (TX)""",13.9,"12.2 - 14.6 (36)"
48003,"""Andrews, (TX)""",15.1,"14.7 - 17.3 (37)"
48005,"""Angelina, (TX)""",14.6,"12.2 - 14.6 (36)"
48007,"""Aransas, (TX)""",9.1,"4.9 - 12.1 (36)"
48009,"""Archer, (TX)""",-1,
48011,"""Armstrong, (TX)""",-1,
48013,"""Atascosa, (TX)""",21.5,"21.2 - 40.8 (35)"
48015,"""Austin, (TX)""",16.2,"14.7 - 17.3 (37)"
48017,"""Bailey, (TX)""",-1,
48019,"""Bandera, (TX)""",17.3,"14.7 - 17.3 (37)"
48021,"""Bastrop, (TX)""",19.5,"17.4 - 21.1 (33)"
48023,"""Baylor, (TX)""",12.2,"12.2 - 14.6 (36)"
48025,"""Bee, (TX)""",22.6,"21.2 - 40.8 (35)"
48027,"""Bell, (TX)""",16.3,"14.7 - 17.3 (37)"
48029,"""Bexar, (TX)""",13.1,"12.2 - 14.6 (36)"
48031,"""Blanco, (TX)""",8.6,"4.9 - 12.1 (36)"
48033,"""Borden, (TX)""",-1,
48035,"""Bosque, (TX)""",12.8,"12.2 - 14.6 (36)"
48037,"""Bowie, (TX)""",16.2,"14.7 - 17.3 (37)"
48039,"""Brazoria, (TX)""",15.3,"14.7 - 17.3 (37)"
48041,"""Brazos, (TX)""",13.2,"12.2 - 14.6 (36)"
48043,"""Brewster, (TX)""",-1,
48045,"""Briscoe, (TX)""",-1,
48047,"""Brooks, (TX)""",28.3,"21.2 - 40.8 (35)"
48049,"""Brown, (TX)""",11.5,"4.9 - 12.1 (36)"
48051,"""Burleson, (TX)""",16.2,"14.7 - 17.3 (37)"
48053,"""Burnet, (TX)""",7.9,"4.9 - 12.1 (36)"
48055,"""Caldwell, (TX)""",13.5,"12.2 - 14.6 (36)"
48057,"""Calhoun, (TX)""",-1,
48059,"""Callahan, (TX)""",7.8,"4.9 - 12.1 (36)"
48061,"""Cameron, (TX)""",17,"14.7 - 17.3 (37)"
48063,"""Camp, (TX)""",8.6,"4.9 - 12.1 (36)"
48065,"""Carson, (TX)""",14.3,"12.2 - 14.6 (36)"
48067,"""Cass, (TX)""",19.7,"17.4 - 21.1 (33)"
