"cnty_fips","display_name","Value","theme_range"
48001,"""Anderson, (TX)""",12.2,"10.9 - 12.5 (35)"
48003,"""Andrews, (TX)""",10.5,"5.0 - 10.8 (36)"
48005,"""Angelina, (TX)""",12.3,"10.9 - 12.5 (35)"
48007,"""Aransas, (TX)""",9.9,"5.0 - 10.8 (36)"
48009,"""Archer, (TX)""",-1,
48011,"""Armstrong, (TX)""",-1,
48013,"""Atascosa, (TX)""",18.5,"18.3 - 35.9 (35)"
48015,"""Austin, (TX)""",14.8,"14.8 - 18.2 (34)"
48017,"""Bailey, (TX)""",-1,
48019,"""Bandera, (TX)""",16.6,"14.8 - 18.2 (34)"
48021,"""Bastrop, (TX)""",14,"12.6 - 14.7 (35)"
48023,"""Baylor, (TX)""",14.6,"12.6 - 14.7 (35)"
48025,"""Bee, (TX)""",25.1,"18.3 - 35.9 (35)"
48027,"""Bell, (TX)""",17.6,"14.8 - 18.2 (34)"
48029,"""Bexar, (TX)""",11,"10.9 - 12.5 (35)"
48031,"""Blanco, (TX)""",6.2,"5.0 - 10.8 (36)"
48033,"""Borden, (TX)""",-1,
48035,"""Bosque, (TX)""",9.4,"5.0 - 10.8 (36)"
48037,"""Bowie, (TX)""",14.1,"12.6 - 14.7 (35)"
48039,"""Brazoria, (TX)""",13.4,"12.6 - 14.7 (35)"
48041,"""Brazos, (TX)""",11.3,"10.9 - 12.5 (35)"
48043,"""Brewster, (TX)""",-1,
48045,"""Briscoe, (TX)""",-1,
48047,"""Brooks, (TX)""",26.9,"18.3 - 35.9 (35)"
48049,"""Brown, (TX)""",8.6,"5.0 - 10.8 (36)"
48051,"""Burleson, (TX)""",21.8,"18.3 - 35.9 (35)"
48053,"""Burnet, (TX)""",8.6,"5.0 - 10.8 (36)"
48055,"""Caldwell, (TX)""",7.9,"5.0 - 10.8 (36)"
48057,"""Calhoun, (TX)""",-1,
48059,"""Callahan, (TX)""",14.4,"12.6 - 14.7 (35)"
48061,"""Cameron, (TX)""",13.1,"12.6 - 14.7 (35)"
48063,"""Camp, (TX)""",-1,
48065,"""Carson, (TX)""",15,"14.8 - 18.2 (34)"
48067,"""Cass, (TX)""",15.6,"14.8 - 18.2 (34)"
48069,"""Castro, (TX)""",-1,
48071,"""Chambers, (TX)""",-1,
48073,"""Cherokee, (TX)""",15.1,"14.8 - 18.2 (34)"
48075,"""Childress, (TX)""",13,"12.6 - 14.7 (35)"
48077,"""Clay, (TX)""",9.7,"5.0 - 10.8 (36)"
48079,"""Cochran, (TX)""",-1,
48081,"""Coke, (TX)""",-1,
48083,"""Coleman, (TX)""",-1,
