"cnty_fips","display_name","Value","theme_range"
48001,"""Anderson, (TX)""",19.3,"16.6 - 20.3 (37)"
48003,"""Andrews, (TX)""",23.1,"20.4 - 24.0 (38)"
48005,"""Angelina, (TX)""",31.4,"28.7 - 88.3 (36)"
48007,"""Aransas, (TX)""",22,"20.4 - 24.0 (38)"
48009,"""Archer, (TX)""",23.7,"20.4 - 24.0 (38)"
48011,"""Armstrong, (TX)""",-1,
48013,"""Atascosa, (TX)""",26.9,"24.1 - 28.6 (38)"
48015,"""Austin, (TX)""",23.4,"20.4 - 24.0 (38)"
48017,"""Bailey, (TX)""",21.5,"20.4 - 24.0 (38)"
48019,"""Bandera, (TX)""",13.2,"5.8 - 16.5 (38)"
48021,"""Bastrop, (TX)""",20.8,"20.4 - 24.0 (38)"
48023,"""Baylor, (TX)""",44.4,"28.7 - 88.3 (36)"
48025,"""Bee, (TX)""",28.5,"24.1 - 28.6 (38)"
48027,"""Bell, (TX)""",16.4,"5.8 - 16.5 (38)"
48029,"""Bexar, (TX)""",17.2,"16.6 - 20.3 (37)"
48031,"""Blanco, (TX)""",14.1,"5.8 - 16.5 (38)"
48033,"""Borden, (TX)""",-1,
48035,"""Bosque, (TX)""",22,"20.4 - 24.0 (38)"
48037,"""Bowie, (TX)""",27.6,"24.1 - 28.6 (38)"
48039,"""Brazoria, (TX)""",18.2,"16.6 - 20.3 (37)"
48041,"""Brazos, (TX)""",17.8,"16.6 - 20.3 (37)"
48043,"""Brewster, (TX)""",-1,
48045,"""Briscoe, (TX)""",-1,
48047,"""Brooks, (TX)""",59.2,"28.7 - 88.3 (36)"
48049,"""Brown, (TX)""",23.5,"20.4 - 24.0 (38)"
48051,"""Burleson, (TX)""",15.6,"5.8 - 16.5 (38)"
48053,"""Burnet, (TX)""",7.4,"5.8 - 16.5 (38)"
48055,"""Caldwell, (TX)""",17,"16.6 - 20.3 (37)"
48057,"""Calhoun, (TX)""",5.8,"5.8 - 16.5 (38)"
48059,"""Callahan, (TX)""",14.6,"5.8 - 16.5 (38)"
48061,"""Cameron, (TX)""",27.6,"24.1 - 28.6 (38)"
48063,"""Camp, (TX)""",14.1,"5.8 - 16.5 (38)"
48065,"""Carson, (TX)""",-1,
48067,"""Cass, (TX)""",24.4,"24.1 - 28.6 (38)"
48069,"""Castro, (TX)""",-1,
48071,"""Chambers, (TX)""",18.6,"16.6 - 20.3 (37)"
48073,"""Cherokee, (TX)""",18.5,"16.6 - 20.3 (37)"
48075,"""Childress, (TX)""",18.7,"16.6 - 20.3 (37)"
48077,"""Clay, (TX)""",-1,
48079,"""Cochran, (TX)""",-1,
48081,"""Coke, (TX)""",-1,
48083,"""Coleman, (TX)""",9,"5.8 - 16.5 (38)"
48085,"""Collin, (TX)""",18.6,"16.6 - 20.3 (37)"
48087,"""Collingsworth, (TX)""",-1,
48089,"""Colorado, (TX)""",15.8,"5.8 - 16.5 (38)"
48091,"""Comal, (TX)""",17.3,"16.6 - 20.3 (37)"
48093,"""Comanche, (TX)""",29.8,"28.7 - 88.3 (36)"
48095,"""Concho, (TX)""",-1,
48097,"""Cooke, (TX)""",23.2,"20.4 - 24.0 (38)"
48099,"""Coryell, (TX)""",27.7,"24.1 - 28.6 (38)"
48101,"""Cottle, (TX)""",-1,
48103,"""Crane, (TX)""",-1,
48105,"""Crockett, (TX)""",-1,
48107,"""Crosby, (TX)""",26.7,"24.1 - 28.6 (38)"
48109,"""Culberson, (TX)""",-1,
48111,"""Dallam, (TX)""",-1,
48113,"""Dallas, (TX)""",17,"16.6 - 20.3 (37)"
48115,"""Dawson, (TX)""",31.6,"28.7 - 88.3 (36)"
48117,"""Deaf Smith, (TX)""",15.8,"5.8 - 16.5 (38)"
48119,"""Delta, (TX)""",26.7,"24.1 - 28.6 (38)"
48121,"""Denton, (TX)""",20.5,"20.4 - 24.0 (38)"
48123,"""DeWitt, (TX)""",36.6,"28.7 - 88.3 (36)"
48125,"""Dickens, (TX)""",-1,
48127,"""Dimmit, (TX)""",28,"24.1 - 28.6 (38)"
48129,"""Donley, (TX)""",29.9,"28.7 - 88.3 (36)"
48131,"""Duval, (TX)""",34.2,"28.7 - 88.3 (36)"
48133,"""Eastland, (TX)""",28.7,"28.7 - 88.3 (36)"
48135,"""Ector, (TX)""",26.4,"24.1 - 28.6 (38)"
48137,"""Edwards, (TX)""",32.1,"28.7 - 88.3 (36)"
48139,"""Ellis, (TX)""",19.7,"16.6 - 20.3 (37)"
48141,"""El Paso, (TX)""",13.7,"5.8 - 16.5 (38)"
48143,"""Erath, (TX)""",27.7,"24.1 - 28.6 (38)"
48145,"""Falls, (TX)""",21.5,"20.4 - 24.0 (38)"
48147,"""Fannin, (TX)""",16.4,"5.8 - 16.5 (38)"
48149,"""Fayette, (TX)""",17.6,"16.6 - 20.3 (37)"
48151,"""Fisher, (TX)""",-1,
48153,"""Floyd, (TX)""",-1,
48155,"""Foard, (TX)""",-1,
48157,"""Fort Bend, (TX)""",17,"16.6 - 20.3 (37)"
48159,"""Franklin, (TX)""",20.8,"20.4 - 24.0 (38)"
48161,"""Freestone, (TX)""",30.1,"28.7 - 88.3 (36)"
48163,"""Frio, (TX)""",33.6,"28.7 - 88.3 (36)"
48165,"""Gaines, (TX)""",-1,
48167,"""Galveston, (TX)""",24.6,"24.1 - 28.6 (38)"
48169,"""Garza, (TX)""",32.4,"28.7 - 88.3 (36)"
48171,"""Gillespie, (TX)""",9.7,"5.8 - 16.5 (38)"
48173,"""Glasscock, (TX)""",-1,
48175,"""Goliad, (TX)""",21.3,"20.4 - 24.0 (38)"
48177,"""Gonzales, (TX)""",18.6,"16.6 - 20.3 (37)"
48179,"""Gray, (TX)""",21.7,"20.4 - 24.0 (38)"
48181,"""Grayson, (TX)""",21.8,"20.4 - 24.0 (38)"
48183,"""Gregg, (TX)""",25.7,"24.1 - 28.6 (38)"
48185,"""Grimes, (TX)""",14.4,"5.8 - 16.5 (38)"
48187,"""Guadalupe, (TX)""",22,"20.4 - 24.0 (38)"
48189,"""Hale, (TX)""",22.9,"20.4 - 24.0 (38)"
48191,"""Hall, (TX)""",29.3,"28.7 - 88.3 (36)"
48193,"""Hamilton, (TX)""",88.3,"28.7 - 88.3 (36)"
48195,"""Hansford, (TX)""",-1,
