"cnty_fips","display_name","Value","theme_range"
48203,"""Harrison, (TX)""",22.1,"21.4 - 41.8 (36)"
48205,"""Hartley, (TX)""",-1,
48207,"""Haskell, (TX)""",14.3,"12.6 - 15.4 (35)"
48209,"""Hays, (TX)""",10.7,"4.0 - 12.5 (38)"
48211,"""Hemphill, (TX)""",-1,
48213,"""Henderson, (TX)""",19.9,"18.3 - 21.3 (36)"
48215,"""Hidalgo, (TX)""",20.6,"18.3 - 21.3 (36)"
48217,"""Hill, (TX)""",17.4,"15.5 - 18.2 (36)"
48219,"""Hockley, (TX)""",21.8,"21.4 - 41.8 (36)"
48221,"""Hood, (TX)""",11,"4.0 - 12.5 (38)"
48223,"""Hopkins, (TX)""",15.4,"12.6 - 15.4 (35)"
48225,"""Houston, (TX)""",19.7,"18.3 - 21.3 (36)"
48227,"""Howard, (TX)""",16.4,"15.5 - 18.2 (36)"
48229,"""Hudspeth, (TX)""",-1,
48231,"""Hunt, (TX)""",17.1,"15.5 - 18.2 (36)"
48233,"""Hutchinson, (TX)""",7.2,"4.0 - 12.5 (38)"
48235,"""Irion, (TX)""",-1,
48237,"""Jack, (TX)""",30.1,"21.4 - 41.8 (36)"
48239,"""Jackson, (TX)""",9.6,"4.0 - 12.5 (38)"
48241,"""Jasper, (TX)""",13.2,"12.6 - 15.4 (35)"
48243,"""Jeff Davis, (TX)""",-1,
48245,"""Jefferson, (TX)""",16,"15.5 - 18.2 (36)"
48247,"""Jim Hogg, (TX)""",-1,
48249,"""Jim Wells, (TX)""",26.5,"21.4 - 41.8 (36)"
48251,"""Johnson, (TX)""",19.3,"18.3 - 21.3 (36)"
48253,"""Jones, (TX)""",16.2,"15.5 - 18.2 (36)"
48255,"""Karnes, (TX)""",11.4,"4.0 - 12.5 (38)"
48257,"""Kaufman, (TX)""",23.3,"21.4 - 41.8 (36)"
48259,"""Kendall, (TX)""",7.6,"4.0 - 12.5 (38)"
48261,"""Kenedy, (TX)""",-1,
48263,"""Kent, (TX)""",-1,
48265,"""Kerr, (TX)""",5.5,"4.0 - 12.5 (38)"
48267,"""Kimble, (TX)""",-1,
48269,"""King, (TX)""",-1,
48271,"""Kinney, (TX)""",-1,
48273,"""Kleberg, (TX)""",36.4,"21.4 - 41.8 (36)"
48275,"""Knox, (TX)""",-1,
48277,"""Lamar, (TX)""",15.5,"15.5 - 18.2 (36)"
48279,"""Lamb, (TX)""",18.1,"15.5 - 18.2 (36)"
48281,"""Lampasas, (TX)""",17.2,"15.5 - 18.2 (36)"
48283,"""La Salle, (TX)""",-1,
48285,"""Lavaca, (TX)""",4,"4.0 - 12.5 (38)"
48287,"""Lee, (TX)""",21.3,"18.3 - 21.3 (36)"
48289,"""Leon, (TX)""",18.6,"18.3 - 21.3 (36)"
48291,"""Liberty, (TX)""",17.5,"15.5 - 18.2 (36)"
48293,"""Limestone, (TX)""",30.5,"21.4 - 41.8 (36)"
48295,"""Lipscomb, (TX)""",-1,
48297,"""Live Oak, (TX)""",14.7,"12.6 - 15.4 (35)"
48299,"""Llano, (TX)""",10.6,"4.0 - 12.5 (38)"
48301,"""Loving, (TX)""",-1,
48303,"""Lubbock, (TX)""",17.5,"15.5 - 18.2 (36)"
48305,"""Lynn, (TX)""",24.6,"21.4 - 41.8 (36)"
48307,"""McCulloch, (TX)""",-1,
48309,"""McLennan, (TX)""",12.4,"4.0 - 12.5 (38)"
48311,"""McMullen, (TX)""",-1,
48313,"""Madison, (TX)""",10.1,"4.0 - 12.5 (38)"
48315,"""Marion, (TX)""",18.8,"18.3 - 21.3 (36)"
48317,"""Martin, (TX)""",-1,
48319,"""Mason, (TX)""",-1,
48321,"""Matagorda, (TX)""",16.3,"15.5 - 18.2 (36)"
48323,"""Maverick, (TX)""",28.4,"21.4 - 41.8 (36)"
48325,"""Medina, (TX)""",13.5,"12.6 - 15.4 (35)"
48327,"""Menard, (TX)""",-1,
48329,"""Midland, (TX)""",10.8,"4.0 - 12.5 (38)"
48331,"""Milam, (TX)""",8.6,"4.0 - 12.5 (38)"
48333,"""Mills, (TX)""",19.6,"18.3 - 21.3 (36)"
48335,"""Mitchell, (TX)""",-1,
48337,"""Montague, (TX)""",27.5,"21.4 - 41.8 (36)"
48339,"""Montgomery, (TX)""",15.7,"15.5 - 18.2 (36)"
48341,"""Moore, (TX)""",22.2,"21.4 - 41.8 (36)"
48343,"""Morris, (TX)""",14,"12.6 - 15.4 (35)"
48345,"""Motley, (TX)""",-1,
48347,"""Nacogdoches, (TX)""",18.5,"18.3 - 21.3 (36)"
48349,"""Navarro, (TX)""",19.1,"18.3 - 21.3 (36)"
48351,"""Newton, (TX)""",13.9,"12.6 - 15.4 (35)"
48353,"""Nolan, (TX)""",24.4,"21.4 - 41.8 (36)"
48355,"""Nueces, (TX)""",18.3,"18.3 - 21.3 (36)"
48357,"""Ochiltree, (TX)""",-1,
48359,"""Oldham, (TX)""",-1,
48361,"""Orange, (TX)""",19,"18.3 - 21.3 (36)"
48363,"""Palo Pinto, (TX)""",15.8,"15.5 - 18.2 (36)"
48365,"""Panola, (TX)""",25.2,"21.4 - 41.8 (36)"
48367,"""Parker, (TX)""",15.4,"12.6 - 15.4 (35)"
48369,"""Parmer, (TX)""",-1,
48371,"""Pecos, (TX)""",14,"12.6 - 15.4 (35)"
48373,"""Polk, (TX)""",22.8,"21.4 - 41.8 (36)"
48375,"""Potter, (TX)""",12.9,"12.6 - 15.4 (35)"
48377,"""Presidio, (TX)""",-1,
48379,"""Rains, (TX)""",19.4,"18.3 - 21.3 (36)"
48381,"""Randall, (TX)""",9.2,"4.0 - 12.5 (38)"
48383,"""Reagan, (TX)""",-1,
48385,"""Real, (TX)""",23.2,"21.4 - 41.8 (36)"
48387,"""Red River, (TX)""",36.5,"21.4 - 41.8 (36)"
48389,"""Reeves, (TX)""",-1,
48391,"""Refugio, (TX)""",-1,
48393,"""Roberts, (TX)""",-1,
48395,"""Robertson, (TX)""",18.3,"18.3 - 21.3 (36)"
48397,"""Rockwall, (TX)""",15.6,"15.5 - 18.2 (36)"
48399,"""Runnels, (TX)""",8.9,"4.0 - 12.5 (38)"
48401,"""Rusk, (TX)""",28.5,"21.4 - 41.8 (36)"
48403,"""Sabine, (TX)""",8.6,"4.0 - 12.5 (38)"
48405,"""San Augustine, (TX)""",10.1,"4.0 - 12.5 (38)"
48407,"""San Jacinto, (TX)""",22.3,"21.4 - 41.8 (36)"
48409,"""San Patricio, (TX)""",21.2,"18.3 - 21.3 (36)"
48411,"""San Saba, (TX)""",-1,
48413,"""Schleicher, (TX)""",-1,
48415,"""Scurry, (TX)""",20.1,"18.3 - 21.3 (36)"
48417,"""Shackelford, (TX)""",-1,
48419,"""Shelby, (TX)""",23.3,"21.4 - 41.8 (36)"
48421,"""Sherman, (TX)""",-1,
48423,"""Smith, (TX)""",12.1,"4.0 - 12.5 (38)"
48425,"""Somervell, (TX)""",17.3,"15.5 - 18.2 (36)"
48427,"""Starr, (TX)""",30.9,"21.4 - 41.8 (36)"
48429,"""Stephens, (TX)""",24.7,"21.4 - 41.8 (36)"
48431,"""Sterling, (TX)""",-1,
48433,"""Stonewall, (TX)""",-1,
48435,"""Sutton, (TX)""",-1,
48437,"""Swisher, (TX)""",-1,
48439,"""Tarrant, (TX)""",14.4,"12.6 - 15.4 (35)"
48441,"""Taylor, (TX)""",9.7,"4.0 - 12.5 (38)"
48443,"""Terrell, (TX)""",-1,
48445,"""Terry, (TX)""",20.2,"18.3 - 21.3 (36)"
48447,"""Throckmorton, (TX)""",-1,
48449,"""Titus, (TX)""",19.2,"18.3 - 21.3 (36)"
48451,"""Tom Green, (TX)""",14.8,"12.6 - 15.4 (35)"
