,cnty_fips,display_name,Y,theme_range,gender,race,year
0,48001,"""Anderson, (TX)""",25.9,15.9 - 25.9 (14),1,2,2005-2007
1,48003,"""Andrews, (TX)""",-1.0,,1,2,2005-2007
2,48005,"""Angelina, (TX)""",33.7,30.1 - 35.9 (13),1,2,2005-2007
3,48007,"""Aransas, (TX)""",-1.0,,1,2,2005-2007
4,48009,"""Archer, (TX)""",-1.0,,1,2,2005-2007
5,48011,"""Armstrong, (TX)""",-1.0,,1,2,2005-2007
6,48013,"""Atascosa, (TX)""",-1.0,,1,2,2005-2007
7,48015,"""Austin, (TX)""",-1.0,,1,2,2005-2007
8,48017,"""Bailey, (TX)""",-1.0,,1,2,2005-2007
9,48019,"""Bandera, (TX)""",-1.0,,1,2,2005-2007
10,48021,"""Bastrop, (TX)""",45.6,45.2 - 72.7 (13),1,2,2005-2007
11,48023,"""Baylor, (TX)""",-1.0,,1,2,2005-2007
12,48025,"""Bee, (TX)""",-1.0,,1,2,2005-2007
13,48027,"""Bell, (TX)""",31.1,30.1 - 35.9 (13),1,2,2005-2007
14,48029,"""Bexar, (TX)""",28.9,26.0 - 30.0 (13),1,2,2005-2007
15,48031,"""Blanco, (TX)""",-1.0,,1,2,2005-2007
16,48033,"""Borden, (TX)""",-1.0,,1,2,2005-2007
17,48035,"""Bosque, (TX)""",-1.0,,1,2,2005-2007
18,48037,"""Bowie, (TX)""",39.9,36.0 - 45.1 (13),1,2,2005-2007
19,48039,"""Brazoria, (TX)""",26.6,26.0 - 30.0 (13),1,2,2005-2007
20,48041,"""Brazos, (TX)""",30.0,26.0 - 30.0 (13),1,2,2005-2007
21,48043,"""Brewster, (TX)""",-1.0,,1,2,2005-2007
22,48045,"""Briscoe, (TX)""",-1.0,,1,2,2005-2007
23,48047,"""Brooks, (TX)""",-1.0,,1,2,2005-2007
24,48049,"""Brown, (TX)""",-1.0,,1,2,2005-2007
25,48051,"""Burleson, (TX)""",-1.0,,1,2,2005-2007
26,48053,"""Burnet, (TX)""",-1.0,,1,2,2005-2007
27,48055,"""Caldwell, (TX)""",-1.0,,1,2,2005-2007
28,48057,"""Calhoun, (TX)""",-1.0,,1,2,2005-2007
29,48059,"""Callahan, (TX)""",-1.0,,1,2,2005-2007
30,48061,"""Cameron, (TX)""",-1.0,,1,2,2005-2007
31,48063,"""Camp, (TX)""",33.7,30.1 - 35.9 (13),1,2,2005-2007
32,48065,"""Carson, (TX)""",-1.0,,1,2,2005-2007
33,48067,"""Cass, (TX)""",53.7,45.2 - 72.7 (13),1,2,2005-2007
34,48069,"""Castro, (TX)""",-1.0,,1,2,2005-2007
35,48071,"""Chambers, (TX)""",-1.0,,1,2,2005-2007
36,48073,"""Cherokee, (TX)""",24.9,15.9 - 25.9 (14),1,2,2005-2007
37,48075,"""Childress, (TX)""",-1.0,,1,2,2005-2007
38,48077,"""Clay, (TX)""",-1.0,,1,2,2005-2007
39,48079,"""Cochran, (TX)""",-1.0,,1,2,2005-2007
40,48081,"""Coke, (TX)""",-1.0,,1,2,2005-2007
41,48083,"""Coleman, (TX)""",-1.0,,1,2,2005-2007
42,48085,"""Collin, (TX)""",38.4,36.0 - 45.1 (13),1,2,2005-2007
43,48087,"""Collingsworth, (TX)""",-1.0,,1,2,2005-2007
44,48089,"""Colorado, (TX)""",32.7,30.1 - 35.9 (13),1,2,2005-2007
45,48091,"""Comal, (TX)""",-1.0,,1,2,2005-2007
46,48093,"""Comanche, (TX)""",-1.0,,1,2,2005-2007
47,48095,"""Concho, (TX)""",-1.0,,1,2,2005-2007
48,48097,"""Cooke, (TX)""",-1.0,,1,2,2005-2007
49,48099,"""Coryell, (TX)""",-1.0,,1,2,2005-2007
50,48101,"""Cottle, (TX)""",-1.0,,1,2,2005-2007
51,48103,"""Crane, (TX)""",-1.0,,1,2,2005-2007
52,48105,"""Crockett, (TX)""",-1.0,,1,2,2005-2007
53,48107,"""Crosby, (TX)""",-1.0,,1,2,2005-2007
54,48109,"""Culberson, (TX)""",-1.0,,1,2,2005-2007
55,48111,"""Dallam, (TX)""",-1.0,,1,2,2005-2007
56,48113,"""Dallas, (TX)""",26.6,26.0 - 30.0 (13),1,2,2005-2007
57,48115,"""Dawson, (TX)""",-1.0,,1,2,2005-2007
58,48117,"""Deaf Smith, (TX)""",-1.0,,1,2,2005-2007
59,48119,"""Delta, (TX)""",-1.0,,1,2,2005-2007
60,48121,"""Denton, (TX)""",31.6,30.1 - 35.9 (13),1,2,2005-2007
61,48123,"""DeWitt, (TX)""",48.1,45.2 - 72.7 (13),1,2,2005-2007
62,48125,"""Dickens, (TX)""",-1.0,,1,2,2005-2007
63,48127,"""Dimmit, (TX)""",-1.0,,1,2,2005-2007
64,48129,"""Donley, (TX)""",-1.0,,1,2,2005-2007
65,48131,"""Duval, (TX)""",-1.0,,1,2,2005-2007
66,48133,"""Eastland, (TX)""",-1.0,,1,2,2005-2007
67,48135,"""Ector, (TX)""",-1.0,,1,2,2005-2007
68,48137,"""Edwards, (TX)""",-1.0,,1,2,2005-2007
69,48139,"""Ellis, (TX)""",31.5,30.1 - 35.9 (13),1,2,2005-2007
70,48141,"""El Paso, (TX)""",21.1,15.9 - 25.9 (14),1,2,2005-2007
71,48143,"""Erath, (TX)""",-1.0,,1,2,2005-2007
72,48145,"""Falls, (TX)""",46.0,45.2 - 72.7 (13),1,2,2005-2007
73,48147,"""Fannin, (TX)""",-1.0,,1,2,2005-2007
74,48149,"""Fayette, (TX)""",-1.0,,1,2,2005-2007
75,48151,"""Fisher, (TX)""",-1.0,,1,2,2005-2007
76,48153,"""Floyd, (TX)""",-1.0,,1,2,2005-2007
77,48155,"""Foard, (TX)""",-1.0,,1,2,2005-2007
78,48157,"""Fort Bend, (TX)""",26.7,26.0 - 30.0 (13),1,2,2005-2007
79,48159,"""Franklin, (TX)""",-1.0,,1,2,2005-2007
80,48161,"""Freestone, (TX)""",44.6,36.0 - 45.1 (13),1,2,2005-2007
81,48163,"""Frio, (TX)""",-1.0,,1,2,2005-2007
82,48165,"""Gaines, (TX)""",-1.0,,1,2,2005-2007
83,48167,"""Galveston, (TX)""",35.9,30.1 - 35.9 (13),1,2,2005-2007
84,48169,"""Garza, (TX)""",-1.0,,1,2,2005-2007
85,48171,"""Gillespie, (TX)""",-1.0,,1,2,2005-2007
86,48173,"""Glasscock, (TX)""",-1.0,,1,2,2005-2007
87,48175,"""Goliad, (TX)""",-1.0,,1,2,2005-2007
88,48177,"""Gonzales, (TX)""",-1.0,,1,2,2005-2007
89,48179,"""Gray, (TX)""",-1.0,,1,2,2005-2007
90,48181,"""Grayson, (TX)""",-1.0,,1,2,2005-2007
91,48183,"""Gregg, (TX)""",24.6,15.9 - 25.9 (14),1,2,2005-2007
92,48185,"""Grimes, (TX)""",-1.0,,1,2,2005-2007
93,48187,"""Guadalupe, (TX)""",43.2,36.0 - 45.1 (13),1,2,2005-2007
94,48189,"""Hale, (TX)""",-1.0,,1,2,2005-2007
95,48191,"""Hall, (TX)""",-1.0,,1,2,2005-2007
96,48193,"""Hamilton, (TX)""",-1.0,,1,2,2005-2007
97,48195,"""Hansford, (TX)""",-1.0,,1,2,2005-2007
98,48197,"""Hardeman, (TX)""",-1.0,,1,2,2005-2007
99,48199,"""Hardin, (TX)""",-1.0,,1,2,2005-2007
100,48201,"""Harris, (TX)""",28.9,26.0 - 30.0 (13),1,2,2005-2007
101,48203,"""Harrison, (TX)""",26.2,26.0 - 30.0 (13),1,2,2005-2007
102,48205,"""Hartley, (TX)""",-1.0,,1,2,2005-2007
