"cnty_fips","display_name","Value","theme_range","dm_prev_adj","ob_prev_adj","ltpia_prev_adj","no_hsdip","no_college","female_hd","foodstmp","home_val","income","GINI","povpct","unemploy"
48077,"""Clay, (TX)""",59.7,"58.8 - 65.8 (50)",8.5,28.3,23.1,10.6,82.1,7.4,9,87.2,49.2,0.472,13.3,3.9
48079,"""Cochran, (TX)""",62.4,"58.8 - 65.8 (50)",9.8,27.7,22.2,33.6,89.5,15.7,20.5,33.3,39.9,0.488,23.5,4.6
48081,"""Coke, (TX)""",52.1,"50.8 - 58.7 (51)",8.7,28.6,27.3,15.1,79.4,8.4,7.8,81.8,41.5,0.417,15.6,3.7
48083,"""Coleman, (TX)""",29.9,"19.6 - 42.4 (52)",8.8,27.8,23.7,18.1,85.6,11.7,15.3,65.9,42.3,0.523,20.1,4.8
48085,"""Collin, (TX)""",44.4,"42.5 - 50.7 (49)",8.7,26.5,18.9,6.4,49.1,10.1,4.2,265.3,90.4,0.433,6.3,3.5
48087,"""Collingsworth, (TX)""",21,"19.6 - 42.4 (52)",9.2,27.9,22,22.6,84.4,8.2,17,55.8,37.4,0.419,19.7,3.7
48089,"""Colorado, (TX)""",72.7,"65.9 - 103.1 (50)",9.2,27.9,22.5,17.9,81.1,11.9,11.2,116.7,48.2,0.453,14.5,4.2
48091,"""Comal, (TX)""",35.2,"19.6 - 42.4 (52)",6.7,27.3,18.8,7.8,64,9.6,6.9,244.1,76.3,0.438,8.6,3.5
48093,"""Comanche, (TX)""",31.9,"19.6 - 42.4 (52)",9.5,28.4,23.4,18.4,81.4,11.3,13.3,89.6,40.1,0.437,17.1,3.6
48095,"""Concho, (TX)""",55.9,"50.8 - 58.7 (51)",8.7,30.9,23.6,39,88.7,7.2,7.7,109.8,39.6,0.501,25.8,6
48097,"""Cooke, (TX)""",54.7,"50.8 - 58.7 (51)",8.7,28.8,23.4,13.6,77.3,11.4,10.8,144.7,59.2,0.419,13.8,3.9
48099,"""Coryell, (TX)""",61,"58.8 - 65.8 (50)",10.9,34.5,25.6,11.8,84.6,12.6,10.5,107.7,50.1,0.417,14.2,4.2
48101,"""Cottle, (TX)""",56.5,"50.8 - 58.7 (51)",9.4,27.5,24.3,24.6,83.3,11.9,15.9,44.7,34.6,0.469,21.4,4
