,cnty_fips,display_name,Value,theme_range,dm_prev_adj,ob_prev_adj,ltpia_prev_adj,povpct,perc_aian,perc_api,perc_black,perc_white,perc_hisp,perc_65up,total_pop,year,Y
35,48071,"""Chambers, (TX)""",23.9,23.8 - 27.7 (49),9.1,27.3,27.2,9.2,0.1,1.2,8.0,68.0,21.3,10.7,39283,2005-2007,938.86
36,48073,"""Cherokee, (TX)""",17.7,16.1 - 19.9 (51),11.2,33.2,28.0,19.4,0.5,0.5,13.5,61.2,22.4,16.8,51594,2005-2007,913.21
37,48075,"""Childress, (TX)""",22.1,20.0 - 23.7 (52),9.2,30.3,23.5,21.5,0.9,4.8,7.2,64.0,21.7,15.2,7064,2005-2007,156.11
38,48077,"""Clay, (TX)""",19.4,16.1 - 19.9 (51),8.5,28.3,23.1,13.3,1.2,0.2,0.5,90.3,5.6,21.4,10369,2005-2007,201.16
39,48079,"""Cochran, (TX)""",36.1,27.8 - 62.1 (49),9.8,27.7,22.2,23.5,0.2,0.0,2.6,37.6,57.0,14.9,2932,2005-2007,105.85
40,48081,"""Coke, (TX)""",12.8,11.5 - 16.0 (51),8.7,28.6,27.3,15.6,0.6,0.1,0.6,76.8,21.0,26.7,3238,2005-2007,41.45
41,48083,"""Coleman, (TX)""",12.5,11.5 - 16.0 (51),8.8,27.8,23.7,20.1,0.7,0.8,2.7,77.3,17.3,22.2,8422,2005-2007,105.28
42,48085,"""Collin, (TX)""",20.1,20.0 - 23.7 (52),8.7,26.5,18.9,6.3,0.3,13.5,9.2,59.1,15.0,10.1,914075,2005-2007,18372.91
43,48087,"""Collingsworth, (TX)""",23.3,20.0 - 23.7 (52),9.2,27.9,22.0,19.7,4.2,0.1,3.4,60.2,31.2,18.4,3026,2005-2007,70.51
44,48089,"""Colorado, (TX)""",24.1,23.8 - 27.7 (49),9.2,27.9,22.5,14.5,0.1,0.0,13.0,56.9,28.9,20.0,20913,2005-2007,504.0
45,48091,"""Comal, (TX)""",16.3,16.1 - 19.9 (51),6.7,27.3,18.8,8.6,0.0,1.0,1.9,68.6,26.7,17.5,129100,2005-2007,2104.33
46,48093,"""Comanche, (TX)""",34.4,27.8 - 62.1 (49),9.5,28.4,23.4,17.1,0.4,0.6,0.6,70.4,27.2,23.8,13492,2005-2007,464.12
47,48095,"""Concho, (TX)""",13.7,11.5 - 16.0 (51),8.7,30.9,23.6,25.8,0.1,0.9,0.6,44.8,53.0,17.3,3858,2005-2007,52.85
48,48097,"""Cooke, (TX)""",23.4,20.0 - 23.7 (52),8.7,28.8,23.4,13.8,0.6,1.0,2.4,76.3,17.3,17.9,39064,2005-2007,914.1
49,48099,"""Coryell, (TX)""",24.2,23.8 - 27.7 (49),10.9,34.5,25.6,14.2,0.6,2.5,13.7,59.4,17.7,9.2,75818,2005-2007,1834.8
50,48101,"""Cottle, (TX)""",16.3,16.1 - 19.9 (51),9.4,27.5,24.3,21.4,0.3,0.0,10.2,53.6,32.7,25.6,1498,2005-2007,24.42
51,48103,"""Crane, (TX)""",24.4,23.8 - 27.7 (49),9.1,30.6,23.5,10.3,0.0,0.0,4.1,32.8,62.7,11.4,4836,2005-2007,118.0
52,48105,"""Crockett, (TX)""",13.8,11.5 - 16.0 (51),8.7,28.0,23.1,16.9,0.0,0.0,0.9,32.9,66.1,14.2,3836,2005-2007,52.94
53,48107,"""Crosby, (TX)""",26.8,23.8 - 27.7 (49),8.6,29.0,22.3,24.1,0.0,0.0,3.6,40.0,55.4,17.2,5895,2005-2007,157.99
54,48109,"""Culberson, (TX)""",18.1,16.1 - 19.9 (51),9.4,29.4,22.7,23.6,0.0,0.2,0.3,17.3,80.6,19.7,2257,2005-2007,40.85
