"cnty_fips","display_name","Value","theme_range","dm_prev_adj","ob_prev_adj","ltpia_prev_adj","povpct","perc_aian","perc_api","perc_black","perc_white","perc_hisp","perc_65up","total_pop"
48359,"""Oldham, (TX)""",12.6,"4.4 - 13.4 (52)",8.7,28.2,21.8,14.3,0,0,5.6,75.8,15.4,13.8,2083
48361,"""Orange, (TX)""",24.1,"20.1 - 24.2 (52)",10.3,33.8,30.6,14,0.2,1.1,8.2,81.3,7,15,83909
48363,"""Palo Pinto, (TX)""",19.6,"16.6 - 20.0 (51)",9.2,29.8,25.5,16.4,0.6,0.7,2.4,75.4,19.7,18.7,28109
48365,"""Panola, (TX)""",25.9,"24.3 - 52.5 (48)",10.2,33.8,25.5,15.6,0,0.6,16.3,73.4,8.5,17.3,23574
48367,"""Parker, (TX)""",17.8,"16.6 - 20.0 (51)",7.7,30.4,23.5,9.3,0.4,0.5,1.3,84.4,11.4,14.8,125963
48369,"""Parmer, (TX)""",8.3,"4.4 - 13.4 (52)",9.2,31.4,23.1,15.5,0.1,0.2,1.6,35.1,62.4,13.1,9871
48371,"""Pecos, (TX)""",24.2,"20.1 - 24.2 (52)",9.5,32.3,23,17.1,0.5,0.4,4.1,25.9,68.4,12.5,15804
48373,"""Polk, (TX)""",23.7,"20.1 - 24.2 (52)",9.8,33.5,25.3,20.3,1.4,0.7,10.4,70.9,14.7,18.8,46974
48375,"""Potter, (TX)""",13.6,"13.5 - 16.5 (49)",9.6,34.4,27,22,0.2,5.3,9.3,45.1,37.5,11.6,121230
48377,"""Presidio, (TX)""",10.4,"4.4 - 13.4 (52)",9.5,27.7,24,24.1,0,4.9,0,13.6,81.4,21.9,7191
48379,"""Rains, (TX)""",21.8,"20.1 - 24.2 (52)",10.2,30.1,21.8,14.8,0.9,0,1.5,85.8,8.6,23.5,11246
48381,"""Randall, (TX)""",12.5,"4.4 - 13.4 (52)",8.2,26.3,25.5,9.1,0.3,1.5,2.7,73.4,20.1,13.9,130552
48383,"""Reagan, (TX)""",14.2,"13.5 - 16.5 (49)",8.7,28.6,21.7,11.8,0,0,0.7,28.8,70.1,11.1,3735
48385,"""Real, (TX)""",19.6,"16.6 - 20.0 (51)",8.9,28.4,24,18.4,0,0,0.2,79.9,19.7,34.1,3358
48387,"""Red River, (TX)""",41.2,"24.3 - 52.5 (48)",11.5,38.2,35,17.1,0.2,0,17.6,73.1,7.2,23.3,12353
48389,"""Reeves, (TX)""",14.9,"13.5 - 16.5 (49)",8.9,29.8,22.8,25,0.3,1.1,4.4,18.2,75,12.8,14791
48391,"""Refugio, (TX)""",13.4,"4.4 - 13.4 (52)",9.4,28.3,23.2,15.7,0.1,0,4.9,42.2,49.7,21.1,7293
48393,"""Roberts, (TX)""",13.1,"4.4 - 13.4 (52)",8.6,26.9,20.8,6.6,0,0.4,0,90.5,7.4,20.7,889
48395,"""Robertson, (TX)""",22.7,"20.1 - 24.2 (52)",9.9,31.8,28.7,18.7,0.2,0.3,19.7,57.8,20.2,18.1,16727
48397,"""Rockwall, (TX)""",15.4,"13.5 - 16.5 (49)",8.9,24.9,24.2,5.2,0.2,2.4,6,72.2,17,11.7,90414
48399,"""Runnels, (TX)""",8.2,"4.4 - 13.4 (52)",9.8,30.1,22.9,17.2,0.3,1,1.3,62.2,33.8,20.4,10266
48401,"""Rusk, (TX)""",28.5,"24.3 - 52.5 (48)",13,35.5,27.3,15.6,0.1,0.4,17,64.6,16.1,15.9,53026
48403,"""Sabine, (TX)""",15.6,"13.5 - 16.5 (49)",9,33.8,25,17.5,0,0,7.5,86,4,29.9,10429
48405,"""San Augustine, (TX)""",21.6,"20.1 - 24.2 (52)",11.2,31.6,25.5,23.8,1.5,0,20.7,68.8,6.9,24.5,8403
48407,"""San Jacinto, (TX)""",35.6,"24.3 - 52.5 (48)",9.9,29,24.5,17.7,0.4,0,10.6,74.8,12.5,20.3,27436
48409,"""San Patricio, (TX)""",25,"24.3 - 52.5 (48)",8.8,35.9,30.4,15.8,0.1,1,1.4,39.4,56.8,14.1,66867
48411,"""San Saba, (TX)""",11.9,"4.4 - 13.4 (52)",9.3,30,22.8,20.1,0,0,2.7,65.3,29.7,21.9,5851
48413,"""Schleicher, (TX)""",10.3,"4.4 - 13.4 (52)",8.7,28.6,22.9,16.6,0,0.1,0.2,47.6,51.8,16.1,3122
48415,"""Scurry, (TX)""",22.8,"20.1 - 24.2 (52)",8.8,29.2,25.5,15.2,0.1,0.2,4.5,53.6,39.7,14.6,17346
48417,"""Shackelford, (TX)""",21.5,"20.1 - 24.2 (52)",8.5,29.2,22.2,14.8,0.2,0.1,0.1,85.6,11.6,18.1,3348
48419,"""Shelby, (TX)""",27.8,"24.3 - 52.5 (48)",10,30.6,26.1,21.1,0.1,0.6,18.8,62.1,17.8,16.5,25689
48421,"""Sherman, (TX)""",14.7,"13.5 - 16.5 (49)",8.5,29.7,24.1,13.1,0.2,0,0.2,55.8,43.2,14,3067
48423,"""Smith, (TX)""",15.3,"13.5 - 16.5 (49)",10.2,31.8,27.4,15.7,0.3,1.6,17.4,60.3,18.9,15.6,222277
48425,"""Somervell, (TX)""",25.4,"24.3 - 52.5 (48)",8.7,28,22.2,10.8,0.3,0.5,0.5,78.6,19,18.2,8650
48427,"""Starr, (TX)""",33,"24.3 - 52.5 (48)",9,32.1,26.1,39.9,0,0,0,0.6,99.1,11.1,63420
48429,"""Stephens, (TX)""",23.3,"20.1 - 24.2 (52)",8.5,29.6,24.8,21.4,0.6,0.4,2.1,72.1,23.2,19,9365
48431,"""Sterling, (TX)""",14.9,"13.5 - 16.5 (49)",8.8,26.9,22.2,12.7,0,0,0.2,57.4,40.8,16,1139
48433,"""Stonewall, (TX)""",12.2,"4.4 - 13.4 (52)",8.8,27.9,22,15.6,0,0,3.5,72.6,22.6,26.1,1084
48435,"""Sutton, (TX)""",16.8,"16.6 - 20.0 (51)",8.7,29.4,21,14.1,0,1,0,39.2,59.4,16.8,3894
48437,"""Swisher, (TX)""",10.3,"4.4 - 13.4 (52)",8.8,28,27.5,22.2,0.5,0.2,5.6,47.5,43.1,17.6,7541
48439,"""Tarrant, (TX)""",16.2,"13.5 - 16.5 (49)",10.1,29.3,22.4,13.6,0.2,5.2,15.5,48.3,28.1,10.5,1983675
48441,"""Taylor, (TX)""",13.8,"13.5 - 16.5 (49)",9,32.1,25.8,16.8,0.4,1.9,7.4,64.5,23.8,13.9,135371
48443,"""Terrell, (TX)""",21.3,"20.1 - 24.2 (52)",8.9,28.4,24.3,18.7,0.6,0,3.1,33.1,56.3,31.2,721
48445,"""Terry, (TX)""",30.8,"24.3 - 52.5 (48)",8.8,30.1,24.3,21.8,0.2,0,4.6,40.7,53.7,14.9,12755
48447,"""Throckmorton, (TX)""",12.1,"4.4 - 13.4 (52)",8.6,26.8,22.1,14.9,0,0.3,0.1,82.4,15.8,26.3,1541
48449,"""Titus, (TX)""",21.5,"20.1 - 24.2 (52)",9.7,29.5,26.1,14.9,0.2,0.7,9,46.2,42,13.4,32664
48451,"""Tom Green, (TX)""",14.1,"13.5 - 16.5 (49)",10.3,28.7,22.8,13.4,0.1,1.1,4,54.3,38.8,14.6,116906
48453,"""Travis, (TX)""",14.7,"13.5 - 16.5 (49)",7.9,21.7,16.5,12.2,0.1,6.3,7.8,49.3,33.8,8.9,1176584
48455,"""Trinity, (TX)""",31,"24.3 - 52.5 (48)",10.5,31.7,25,20.1,0.3,0.3,9.5,79,9.3,26.1,14481
48457,"""Tyler, (TX)""",17.5,"16.6 - 20.0 (51)",9.5,29,25.9,18.4,0,0.3,10.7,79.6,7.2,21.1,21456
48459,"""Upshur, (TX)""",22.8,"20.1 - 24.2 (52)",10.4,29.3,27.2,15.4,0.7,0.2,8.9,80.7,8,17.2,40506
48461,"""Upton, (TX)""",17.2,"16.6 - 20.0 (51)",9,27.9,22.1,13.6,0.1,0.2,6.6,42.9,49.7,13.5,3575
48463,"""Uvalde, (TX)""",23.7,"20.1 - 24.2 (52)",8.9,31.5,23.1,25.3,0.3,1,0.1,27.1,70.9,16.4,27015
48465,"""Val Verde, (TX)""",22.6,"20.1 - 24.2 (52)",8.8,27.4,23.3,20.7,0.1,0.6,1,15.9,81.3,13.9,48976
48467,"""Van Zandt, (TX)""",20.5,"20.1 - 24.2 (52)",8.9,26.5,26.4,14.8,0.5,0.5,2.6,84.3,10.2,19.9,53607
48469,"""Victoria, (TX)""",18.8,"16.6 - 20.0 (51)",9.9,31,26.5,14.2,0.1,1,5.8,45.4,46,15,91518
48471,"""Walker, (TX)""",20.7,"20.1 - 24.2 (52)",9.8,31.9,23.8,22.3,0.3,1.2,22.8,56.9,17.7,12,70818
48473,"""Waller, (TX)""",20.1,"20.1 - 24.2 (52)",11.3,35.8,29.4,16.5,0,0.7,24.8,43,29.3,11.4,48443
48475,"""Ward, (TX)""",13.9,"13.5 - 16.5 (49)",10,31.8,23.8,12.8,0.5,0.2,4.8,41.3,52.1,14,11498
48477,"""Washington, (TX)""",17.3,"16.6 - 20.0 (51)",9.7,28.9,24.7,14.1,0.2,1.8,16.9,64.4,15.4,20.3,34667
48479,"""Webb, (TX)""",23.4,"20.1 - 24.2 (52)",8.3,33.1,25.4,31.8,0,0.5,0.2,3.4,95.4,8.8,269624
48481,"""Wharton, (TX)""",17.9,"16.6 - 20.0 (51)",9.3,30.1,24,17.4,0,0,13.8,45.2,40.2,15.9,41430
48483,"""Wheeler, (TX)""",7.4,"4.4 - 13.4 (52)",9.2,29.6,26.7,13.4,0.1,0.3,2.6,68.3,26.5,18.2,5599
48485,"""Wichita, (TX)""",15.4,"13.5 - 16.5 (49)",12.3,32.2,27.5,16.8,0.5,2,9.8,66.1,18.5,13.9,131778
48487,"""Wilbarger, (TX)""",17.6,"16.6 - 20.0 (51)",10,28.4,26.4,15.8,0.7,0.9,7.9,59.4,28.6,16.6,12972
48489,"""Willacy, (TX)""",26.6,"24.3 - 52.5 (48)",10,30.8,22.9,38.3,0,0.1,0.6,11,87.9,13.1,21839
48491,"""Williamson, (TX)""",13.9,"13.5 - 16.5 (49)",7.8,31.1,17.3,5.8,0.1,6,5.9,60.9,24,11.2,508313
48493,"""Wilson, (TX)""",17.6,"16.6 - 20.0 (51)",9.2,34.5,22.4,10.4,0.1,0.4,1.3,57.6,39.1,14.5,47205
48495,"""Winkler, (TX)""",17.9,"16.6 - 20.0 (51)",9,31,22.9,15,0.8,0,2.3,36.9,59.3,11.2,7777
48497,"""Wise, (TX)""",16.1,"13.5 - 16.5 (49)",10.1,30.2,23.9,12,0.3,0.6,1.1,77.4,18.7,14.6,63247
48499,"""Wood, (TX)""",18.8,"16.6 - 20.0 (51)",9.2,29.2,24.6,13.2,0.6,0.1,5.5,83.1,9.6,26.9,43315
48501,"""Yoakum, (TX)""",10.2,"4.4 - 13.4 (52)",8.6,28.9,22.9,12.2,0.1,0,0,33.1,65,11.1,8481
48503,"""Young, (TX)""",14.1,"13.5 - 16.5 (49)",10.8,31.5,24.8,14.6,0.5,0.4,1.4,78.7,18,19.7,18166
48505,"""Zapata, (TX)""",29,"24.3 - 52.5 (48)",8.6,28.6,21.8,29.1,0,0.7,0,5.2,94,12.7,14415
48507,"""Zavala, (TX)""",28.3,"24.3 - 52.5 (48)",8.4,27.7,21.1,34.4,0,0,0.5,5.4,93.5,13.3,12152
