"cnty_fips","display_name","Value","theme_range","dm_prev_adj","ob_prev_adj","ltpia_prev_adj","povpct","perc_aian","perc_api","perc_black","perc_white","perc_hisp","perc_65up","total_pop"
48083,"""Coleman, (TX)""",8.2,"4.4 - 13.4 (52)",8.8,27.8,23.7,20.1,0.7,0.8,2.7,77.3,17.3,22.2,8422
48085,"""Collin, (TX)""",16.5,"13.5 - 16.5 (49)",8.7,26.5,18.9,6.3,0.3,13.5,9.2,59.1,15,10.1,914075
48087,"""Collingsworth, (TX)""",13,"4.4 - 13.4 (52)",9.2,27.9,22,19.7,4.2,0.1,3.4,60.2,31.2,18.4,3026
48089,"""Colorado, (TX)""",16.9,"16.6 - 20.0 (51)",9.2,27.9,22.5,14.5,0.1,0,13,56.9,28.9,20,20913
48091,"""Comal, (TX)""",14.1,"13.5 - 16.5 (49)",6.7,27.3,18.8,8.6,0,1,1.9,68.6,26.7,17.5,129100
48093,"""Comanche, (TX)""",28.2,"24.3 - 52.5 (48)",9.5,28.4,23.4,17.1,0.4,0.6,0.6,70.4,27.2,23.8,13492
48095,"""Concho, (TX)""",16.3,"13.5 - 16.5 (49)",8.7,30.9,23.6,25.8,0.1,0.9,0.6,44.8,53,17.3,3858
48097,"""Cooke, (TX)""",21.5,"20.1 - 24.2 (52)",8.7,28.8,23.4,13.8,0.6,1,2.4,76.3,17.3,17.9,39064
48099,"""Coryell, (TX)""",23.1,"20.1 - 24.2 (52)",10.9,34.5,25.6,14.2,0.6,2.5,13.7,59.4,17.7,9.2,75818
48101,"""Cottle, (TX)""",12.1,"4.4 - 13.4 (52)",9.4,27.5,24.3,21.4,0.3,0,10.2,53.6,32.7,25.6,1498
48103,"""Crane, (TX)""",20.4,"20.1 - 24.2 (52)",9.1,30.6,23.5,10.3,0,0,4.1,32.8,62.7,11.4,4836
48105,"""Crockett, (TX)""",15.3,"13.5 - 16.5 (49)",8.7,28,23.1,16.9,0,0,0.9,32.9,66.1,14.2,3836
48107,"""Crosby, (TX)""",20.6,"20.1 - 24.2 (52)",8.6,29,22.3,24.1,0,0,3.6,40,55.4,17.2,5895
48109,"""Culberson, (TX)""",12.9,"4.4 - 13.4 (52)",9.4,29.4,22.7,23.6,0,0.2,0.3,17.3,80.6,19.7,2257
48111,"""Dallam, (TX)""",12.2,"4.4 - 13.4 (52)",9,31.7,21.9,11.3,1.1,0.8,1.7,51.2,43.8,10.8,7207
