"","cnty_fips","display_name","Y","theme_range","X","year","E","SIR"
"54",48107,"""Crosby, (TX)""",56.8,"50.8 - 58.7 (51)",NA,"2014-2016",54.4850393700787,1.04
"55",48109,"""Culberson, (TX)""",39.6,"19.6 - 42.4 (52)",NA,"2014-2016",54.4850393700787,0.73
"56",48111,"""Dallam, (TX)""",43.5,"42.5 - 50.7 (49)",NA,"2014-2016",54.4850393700787,0.8
"57",48113,"""Dallas, (TX)""",52.7,"50.8 - 58.7 (51)",NA,"2014-2016",54.4850393700787,0.97
"58",48115,"""Dawson, (TX)""",63.3,"58.8 - 65.8 (50)",NA,"2014-2016",54.4850393700787,1.16
"59",48117,"""Deaf Smith, (TX)""",42.5,"42.5 - 50.7 (49)",NA,"2014-2016",54.4850393700787,0.78
"60",48119,"""Delta, (TX)""",52.1,"50.8 - 58.7 (51)",NA,"2014-2016",54.4850393700787,0.96
"61",48121,"""Denton, (TX)""",51.1,"50.8 - 58.7 (51)",NA,"2014-2016",54.4850393700787,0.94
"62",48123,"""DeWitt, (TX)""",72,"65.9 - 103.1 (50)",NA,"2014-2016",54.4850393700787,1.32
"63",48125,"""Dickens, (TX)""",64.3,"58.8 - 65.8 (50)",NA,"2014-2016",54.4850393700787,1.18
"64",48127,"""Dimmit, (TX)""",64.6,"58.8 - 65.8 (50)",NA,"2014-2016",54.4850393700787,1.19
"65",48129,"""Donley, (TX)""",47.2,"42.5 - 50.7 (49)",NA,"2014-2016",54.4850393700787,0.87
"66",48131,"""Duval, (TX)""",74.4,"65.9 - 103.1 (50)",NA,"2014-2016",54.4850393700787,1.37
"67",48133,"""Eastland, (TX)""",60.1,"58.8 - 65.8 (50)",NA,"2014-2016",54.4850393700787,1.1
"68",48135,"""Ector, (TX)""",63.8,"58.8 - 65.8 (50)",NA,"2014-2016",54.4850393700787,1.17
"69",48137,"""Edwards, (TX)""",50.7,"42.5 - 50.7 (49)",NA,"2014-2016",54.4850393700787,0.93
"70",48139,"""Ellis, (TX)""",57,"50.8 - 58.7 (51)",NA,"2014-2016",54.4850393700787,1.05
"71",48141,"""El Paso, (TX)""",36.2,"19.6 - 42.4 (52)",NA,"2014-2016",54.4850393700787,0.66
"72",48143,"""Erath, (TX)""",55.6,"50.8 - 58.7 (51)",NA,"2014-2016",54.4850393700787,1.02
"73",48145,"""Falls, (TX)""",87.4,"65.9 - 103.1 (50)",NA,"2014-2016",54.4850393700787,1.6
"74",48147,"""Fannin, (TX)""",61.4,"58.8 - 65.8 (50)",NA,"2014-2016",54.4850393700787,1.13
"75",48149,"""Fayette, (TX)""",52.5,"50.8 - 58.7 (51)",NA,"2014-2016",54.4850393700787,0.96
"76",48151,"""Fisher, (TX)""",48.7,"42.5 - 50.7 (49)",NA,"2014-2016",54.4850393700787,0.89
"77",48153,"""Floyd, (TX)""",49.2,"42.5 - 50.7 (49)",NA,"2014-2016",54.4850393700787,0.9
"78",48155,"""Foard, (TX)""",50.7,"42.5 - 50.7 (49)",NA,"2014-2016",54.4850393700787,0.93
"79",48157,"""Fort Bend, (TX)""",54.7,"50.8 - 58.7 (51)",NA,"2014-2016",54.4850393700787,1
"80",48159,"""Franklin, (TX)""",63.4,"58.8 - 65.8 (50)",NA,"2014-2016",54.4850393700787,1.16
"81",48161,"""Freestone, (TX)""",58.8,"58.8 - 65.8 (50)",NA,"2014-2016",54.4850393700787,1.08
"82",48163,"""Frio, (TX)""",65.4,"58.8 - 65.8 (50)",NA,"2014-2016",54.4850393700787,1.2
"83",48165,"""Gaines, (TX)""",43.4,"42.5 - 50.7 (49)",NA,"2014-2016",54.4850393700787,0.8
"84",48167,"""Galveston, (TX)""",80.5,"65.9 - 103.1 (50)",NA,"2014-2016",54.4850393700787,1.48
"85",48169,"""Garza, (TX)""",52.8,"50.8 - 58.7 (51)",NA,"2014-2016",54.4850393700787,0.97
"86",48171,"""Gillespie, (TX)""",26.6,"19.6 - 42.4 (52)",NA,"2014-2016",54.4850393700787,0.49
"87",48173,"""Glasscock, (TX)""",47.7,"42.5 - 50.7 (49)",NA,"2014-2016",54.4850393700787,0.88
"88",48175,"""Goliad, (TX)""",74.5,"65.9 - 103.1 (50)",NA,"2014-2016",54.4850393700787,1.37
