"","cnty_fips","display_name","Y","theme_range","X","year","E","SIR"
"232",48463,"""Uvalde, (TX)""",53.6,"50.8 - 58.7 (51)",NA,"2014-2016",54.4850393700787,0.98
"233",48465,"""Val Verde, (TX)""",49.2,"42.5 - 50.7 (49)",NA,"2014-2016",54.4850393700787,0.9
"234",48467,"""Van Zandt, (TX)""",66.8,"65.9 - 103.1 (50)",NA,"2014-2016",54.4850393700787,1.23
"235",48469,"""Victoria, (TX)""",67.8,"65.9 - 103.1 (50)",NA,"2014-2016",54.4850393700787,1.24
"236",48471,"""Walker, (TX)""",65.4,"58.8 - 65.8 (50)",NA,"2014-2016",54.4850393700787,1.2
"237",48473,"""Waller, (TX)""",65.5,"58.8 - 65.8 (50)",NA,"2014-2016",54.4850393700787,1.2
"238",48475,"""Ward, (TX)""",35.9,"19.6 - 42.4 (52)",NA,"2014-2016",54.4850393700787,0.66
"239",48477,"""Washington, (TX)""",53.2,"50.8 - 58.7 (51)",NA,"2014-2016",54.4850393700787,0.98
"240",48479,"""Webb, (TX)""",44,"42.5 - 50.7 (49)",NA,"2014-2016",54.4850393700787,0.81
"241",48481,"""Wharton, (TX)""",69.7,"65.9 - 103.1 (50)",NA,"2014-2016",54.4850393700787,1.28
"242",48483,"""Wheeler, (TX)""",42.4,"19.6 - 42.4 (52)",NA,"2014-2016",54.4850393700787,0.78
"243",48485,"""Wichita, (TX)""",57,"50.8 - 58.7 (51)",NA,"2014-2016",54.4850393700787,1.05
"244",48487,"""Wilbarger, (TX)""",71.4,"65.9 - 103.1 (50)",NA,"2014-2016",54.4850393700787,1.31
"245",48489,"""Willacy, (TX)""",54.3,"50.8 - 58.7 (51)",NA,"2014-2016",54.4850393700787,1
"246",48491,"""Williamson, (TX)""",42.5,"42.5 - 50.7 (49)",NA,"2014-2016",54.4850393700787,0.78
"247",48493,"""Wilson, (TX)""",42,"19.6 - 42.4 (52)",NA,"2014-2016",54.4850393700787,0.77
"248",48495,"""Winkler, (TX)""",42.1,"19.6 - 42.4 (52)",NA,"2014-2016",54.4850393700787,0.77
"249",48497,"""Wise, (TX)""",62.2,"58.8 - 65.8 (50)",NA,"2014-2016",54.4850393700787,1.14
"250",48499,"""Wood, (TX)""",45.3,"42.5 - 50.7 (49)",NA,"2014-2016",54.4850393700787,0.83
"251",48501,"""Yoakum, (TX)""",27.8,"19.6 - 42.4 (52)",NA,"2014-2016",54.4850393700787,0.51
"252",48503,"""Young, (TX)""",57.9,"50.8 - 58.7 (51)",NA,"2014-2016",54.4850393700787,1.06
"253",48505,"""Zapata, (TX)""",56.2,"50.8 - 58.7 (51)",NA,"2014-2016",54.4850393700787,1.03
"254",48507,"""Zavala, (TX)""",59.8,"58.8 - 65.8 (50)",NA,"2014-2016",54.4850393700787,1.1
